啊	啊	a·	不错啊，多美啊，快来啊，很好啊，小心啊	（助词）表示赞叹、惊叹、疑问、肯定、辩解、催促，停顿、列举等语气	
妞	妞	niū	妞儿，小妞	（方言）女孩子	
捻	捻	niǎn		用手指搓转	
辇	輦	niǎn		赶走，追赶	
碾	碾	niǎn	碾米，碾碎		
撵	攆	niǎn	撵走，撵出去	皇帝乘坐的车子	
鸟	鳥	niǎo	鸟笼，候鸟		
袅	裊	niǎo	袅娜，袅袅	柔软细长，缭绕，随风摆动	
扭	扭	niǔ	扭转，扭捏		
纽	紐	niǔ	纽约，枢纽		
忸	忸	niǔ	忸怩		
钮	鈕	niǔ	钮扣，电钮		
懦	懦	nuò	懦夫，怯懦		
糯	糯	nuò	糯米		
诺	諾	nuò	诺言，承诺		
挪	挪	nuó	挪动，挪用		
娜	娜	nuó	婀娜，袅娜		
暖	暖	nuǎn	暖和，温暖		
衲	衲	nà	老衲	和尚的衣服；和尚自称	
钠	鈉	nà		化学元素11	
捺	捺	nà	按捺不住	按，摁，用手重按	
纳	納	nà	纳税，纳闷，采纳		
那	那	nà	那里，那个，那年，那时，那地方，那棵树，那时候	（指定代名词）	
呐	吶	nà	呐喊，木呐		
娜	娜	nà	丽娜，安娜	（人名用字）	
耐	耐	nài	耐心，忍耐		
奈	奈	nài	无奈	如何，怎么办	
鼐	鼐	nài		大鼎	
萘	萘	nài		有机化合物，一种结晶状芳香烃	
难	難	nàn	难民，灾难	（名词）	
闹	鬧	nào	闹市，闹剧，热闹，吵闹		
淖	淖	nào		泥沼，烂泥	
拿	拿	ná			
南	南	nán	南方，南边，南面，南风，指南针		
男	男	nán	男人，少男		
楠	楠	nán			
喃	喃	nán	喃喃自语		
难	難	nán	难道，难题，艰难，困难	（形容词）	
囊	囊	náng	囊括，行囊	口袋	
馕	饢	náng		一种烤制的面饼	
铙	鐃	náo	铙钹	铜质的打击乐器	
挠	撓	náo	阻挠，百折不挠		
猱	猱	náo	猱犬，蠼猱	猿类	
讷	訥	nè	木讷	语言迟钝，不善言辞	
那	那	nè/nèi	那样，那么，那些人，那座楼，那会儿	（指定代名词）	
内	內	nèi	内部，国内		
嫩	嫩	nèn	嫩叶，娇嫩		
哪	哪	né/nuó	哪吒	（梵文音译词）	那
能	能	néng	能力，才能		
逆	逆	nì	逆转，逆向，叛逆		
匿	匿	nì	匿名，藏匿		
溺	溺	nì	溺水，溺死		
昵	暱	nì	昵称，亲昵		
腻	膩	nì	腻了，甜腻		
睨	睨	nì	睥睨，斜睨	斜眼看	
泥	泥	nì	泥古，泥墙，泥壁，拘泥，泥古不化	固执，拘束，死板，停留不前；涂抹，涂饰，用土、灰等涂抹墙壁或器物	
泞	濘	nìng	泥泞		
拧	擰	nìng	拧性，拧脾气	倔强，别扭	
宁	寧	nìng	宁可，宁愿，宁死不屈，宁缺毋滥	情愿	
佞	佞	nìng	佞臣，佞人	善辩，巧言谄媚	
宁	寧	nìng		（姓）	甯
铌	鈮	ní		化学元素41	
泥	泥	ní	泥土，泥巴，泥坑，泥泞，稀泥，水泥，污泥，烂泥，印泥，蒜泥，枣泥，肉泥，淤泥，土豆泥，泥牛入海，拖泥带水	水和土合成的半固体；像泥的东西	
猊	猊	ní	狻猊	狮子	
怩	怩	ní	忸怩		
倪	倪	ní	端倪		
尼	尼	ní	尼姑		
霓	霓	ní	霓虹灯		蜺
呢	呢	ní	呢子，呢料，呢绒，毛呢，厚呢，呢喃	一种毛织品	
坭	坭	ní	白坭	（地名）	
鲵	鯢	ní	鲵鱼，大鲵	一种像蜥蜴的两栖类动物	
您	您	nín			
柠	檸	níng	柠檬		
凝	凝	níng	凝固，凝视		
拧	擰	níng	拧毛巾，拧衣服，拧绳子，拧一把	用手向相反的方向转动	
咛	嚀	níng	叮咛		
狞	獰	níng	狞笑，狰狞		
宁	寧	níng	宁静，安宁，息事宁人，坐卧不宁	安静，平静，安定	
弄	弄	nòng	弄错，愚弄		
农	農	nóng	农田，茶农		
脓	膿	nóng	脓包，出脓		
浓	濃	nóng	浓密，香浓		
侬	儂	nóng	你侬我侬，吴侬软语	（方言）你	
哝	噥	nóng	哝哝，咕哝	小声说话	
怒	怒	nù	怒火，发怒		
奴	奴	nú	奴隶，守财奴		
驽	駑	nú	驽钝，驽马	低劣，软弱，不好，愚钝，劣马	
虐	虐	nüè	虐待，暴虐	残暴	
疟	瘧	nüè	疟疾	蚊子传染的疾病；打摆子	
南	南	nā	南无	（梵文音译词）	
那	那	nā		（姓）	
囡	囡	nān	小囡	（方言）小孩	
囔	囔	nāng	囔囔，嘟囔	说话声音小而听不清楚	
孬	孬	nāo	孬脾气，孬种	（方言）不好，怯弱	
哪	哪	něi	哪个	（疑问词，用于口语）	
馁	餒	něi	气馁	失去勇气	
妮	妮	nī/ní	妮子，婢妮	女孩子	
哪	哪	nǎ	哪里，哪儿，哪呢	（疑问词）	
乃	乃	nǎi	乃至	是	迺
氖	氖	nǎi		化学元素10	
奶	奶	nǎi	奶粉，牛奶		
腩	腩	nǎn	牛腩	腹部的肥肉	
赧	赧	nǎn	赧然	因羞愧而面红	
馕	饢	nǎng	馕嗓，馕糠，馕糟	拼命往嘴里塞食物	
恼	惱	nǎo	恼火，烦恼		
脑	腦	nǎo	脑子，大脑		
瑙	瑙	nǎo	瑙鲁，玛瑙		
你	妳	nǐ		代词，指对方（专指女性）	
拟	擬	nǐ	拟定，模拟，虚拟	模仿；起草	
你	你	nǐ		代词，指对方	
旎	旎	nǐ	旖旎，旖旎风情	柔和美丽	
拧	擰	nǐng	拧紧，拧开，拧螺丝，想拧了，越说越拧	控制住并转动	
弩	弩	nǔ			
努	努	nǔ	努力		
女	女	nǚ	女人，少女		
钕	釹	nǚ		化学元素60	
衄	衄	nǜ	鼻衄，齿衄	出血	衂
骗	騙	piàn	骗子，骗局，欺骗		
片	片	piàn			
漂	漂	piào	漂亮	美，好看	
票	票	piào	票房，买票		
嘌	嘌	piào	嘌呤	一种有机化合物	
骠	驃	piào	骠国，骠人，骠信，骠骑，骠勇	古代国名，也指勇猛，或马奔跑的样子	
骈	駢	pián	骈文	成双的东西	
便	便	pián	便宜，大腹便便		
胼	胼	pián	胼胝	手脚上的厚茧	
瓢	瓢	piáo			
嫖	嫖	piáo	嫖娼，嫖妓，嫖客		
朴	朴	piáo		（姓）	
片	片	piān	片子，唱片，影片，相片	（用于口语）指影片、唱片等	
偏	偏	piān	偏见，偏偏，不偏不倚		
篇	篇	piān	篇幅，一篇文章		
翩	翩	piān	翩翩	很快地飞舞	
扁	扁	piān	扁舟	小	
漂	漂	piāo	漂浮，漂移，漂泊，漂流	浮在液体上；随风或液体流动	
飘	飄	piāo			
缥	縹	piāo	缥缈	隐隐约约，若有若无	
剽	剽	piāo/piào	剽悍，剽窃		
瞥	瞥	piē	瞥一眼		
撇	撇	piē	撇开，撇掉，撇弃，撇下，撇油，撇在一边	抛弃，不顾，弃置不顾	
撇	撇	piě	撇笔，撇号，撇嘴，左撇子，八字没一撇	向左斜下的汉字笔画	
瞟	瞟	piǎo	瞟了你一眼，用眼角瞟瞟旁边		
漂	漂	piǎo	漂洗，漂白，漂染	用水冲洗，或用化学药品使纺织品变白	
怕	怕	pà	怕苦，害怕		
帕	帕	pà	手帕		
派	派	pài	派遣，党派		
湃	湃	pài	澎湃		
哌	哌	pài	哌嗪	（译音用字）	
盼	盼	pàn	盼望，期盼		
判	判	pàn	判断，裁判		
畔	畔	pàn	河畔，湖畔		
叛	叛	pàn	叛徒，背叛		
拚	拚	pàn	拚命		
袢	袢	pàn	袷袢	一种对襟长袍	
胖	胖	pàng	胖子，肥胖		
疱	疱	pào	疱疹		皰
炮	炮	pào	炮轰，鞭炮		砲，礮
泡	泡	pào	泡沫，泡子，泡汤，泡影，泡茶，泡水，泡菜，泡澡，泡饭，泡面，气泡，水泡，灯泡，浸泡，起泡，冒泡，发泡，泡吧，泡时间，肥皂泡，电灯泡	液体内有空气的球状物	
琶	琶	pá	琵琶		
杷	杷	pá	枇杷		
耙	耙	pá	耙子，耙地，把麦子耙成一堆	平整谷物柴草等的工具	
爬	爬	pá	爬山，爬行，乱爬		
扒	扒	pá	扒草，扒痒，扒手，扒窃，扒走，扒饭，扒鸡，扒钱包，扒白菜，扒羊肉，吃里扒外	用手或耙子一类的工具使东西聚拢或散开；偷窃；炖，煨烂	
排	排	pái	排队，牛排		
徘	徘	pái	徘徊		
牌	牌	pái	牌桌，名牌，打牌		
俳	俳	pái	俳句		
槃	槃	pán	涅槃	超脱生死的境界	
磐	磐	pán	磐石，风雨如磐	巨大的石头	
蟠	蟠	pán	蟠桃，蟠龙		
盘	盤	pán	盘子，全盘		
蹒	蹣	pán/mán	蹒跚		
仿	彷	páng	彷徨	徘徊不前，犹疑不决的样子	
庞	龐	páng	庞大		
旁	旁	páng	旁边，身旁		
螃	螃	páng	螃蟹		
磅	磅	páng	磅礴	盛大，广大，充满，无边际	
膀	膀	páng	膀胱		
庖	庖	páo	越俎代庖		
袍	袍	páo	袍子，长袍		
匏	匏	páo	匏瓜	瓢葫芦	
咆	咆	páo	咆哮		
刨	刨	páo	刨土，刨坑，刨去	（动词）挖掘，减，除去	
狍	麅	páo	狍子，西方狍	一种鹿	
佩	佩	pèi	佩戴，钦佩		
珮	珮	pèi			
霈	霈	pèi			
沛	沛	pèi	充沛，丰沛		
配	配	pèi	配合，相配		
辔	轡	pèi	马辔	驾驭牲口的嚼子和缰绳	
帔	帔	pèi			
碰	碰	pèng	碰到，相碰		
赔	賠	péi	赔偿，索赔		
陪	陪	péi	陪同，奉陪，失陪		
培	培	péi	培养，栽培		
裴	裴	péi		（姓）	
盆	盆	pén	盆地，骨盆		
澎	澎	péng	澎湖	（地名）	
棚	棚	péng			
彭	彭	péng		（姓）	
蓬	蓬	péng	蓬莱，莲蓬		
膨	膨	péng	膨胀		
硼	硼	péng		化学元素5	
篷	篷	péng	帐篷		
朋	朋	péng	朋友，狐朋狗友		
鹏	鵬	péng			
芃	芃	péng			
澎	澎	péng/pēng	澎湃		
僻	僻	pì	偏僻		
屁	屁	pì	屁股，放屁		
辟	闢	pì	开辟，开天辟地，精辟	开拓，开垦，排除	
譬	譬	pì	譬如		
媲	媲	pì	媲美	比得上	
睥	睥	pì	睥睨	斜眼看	
濞	濞	pì		（水名）	
䴙	鷿	pì	䴙䴘	一种水鸟	鸊
牝	牝	pìn		雌性	
聘	聘	pìn	聘请，应聘		
啤	啤	pí	啤酒		
皮	皮	pí	皮肤，调皮		
疲	疲	pí	疲惫，疲倦，疲乏		
琵	琵	pí	琵琶		
貔	貔	pí	貔貅	一种猛兽，像虎	
脾	脾	pí	脾脏，脾气		
枇	枇	pí	枇杷		
蜱	蜱	pí	蜱虫	一种寄生虫	
毗	毗	pí	毗邻	接连	
郫	郫	pí	郫县	（地名）	
裨	裨	pí	裨将，偏裨	辅佐的	
狓	狓	pí	狓猖，霍加狓		
嫔	嬪	pín	嫔妃		
贫	貧	pín	贫乏，贫穷		
颦	顰	pín	颦眉，效颦		
频	頻	pín	频繁，频率，频道，高频，频频		
坪	坪	píng	草坪		
屏	屏	píng	屏幕，屏风，屏障，屏蔽，屏条，雀屏，画屏，孔雀开屏	（动词）遮挡；（名词）挡风或隔间的用具	
苹	蘋	píng	苹果		
评	評	píng	评论，批评		
平	平	píng	平常，和平，公平		
凭	憑	píng	凭借，凭据，任凭，文凭		
瓶	瓶	píng	瓶子，花瓶		
萍	萍	píng	萍水相逢，浮萍		
魄	魄	pò	魄力，魂魄		
迫	迫	pò	迫使，逼迫		
破	破	pò	破坏，打破		
粕	粕	pò	糟粕	酿酒剩下来的渣滓	
珀	珀	pò	琥珀		
婆	婆	pó	婆婆，外婆		
鄱	鄱	pó	鄱阳湖	（地名）	
抔	抔	póu	一抔黄沙	用手捧东西	
瀑	瀑	pù	瀑布		
曝	曝	pù	曝光，曝晒，一曝十寒		
铺	舖	pù	铺子，店铺，铺盖，床铺，铺位	名词	鋪
璞	璞	pú	璞玉浑金，返璞归真	含玉的石头	
菩	菩	pú	菩提树，菩萨		
葡	葡	pú	葡萄		
脯	脯	pú	胸脯，脯子	胸部	
仆	僕	pú	仆人，公仆		
匍	匍	pú	匍匐前进	紧贴地面	
蒲	蒲	pú	蒲公英		
莆	莆	pú	莆田	（地名）	
濮	濮	pú	濮阳	（地名）	
趴	趴	pā	趴下，趴在桌子上睡觉		
葩	葩	pā	雪葩，奇葩	花	
啪	啪	pā	劈里啪啦		
拍	拍	pāi	拍手，拍照，球拍		
潘	潘	pān		（姓）	
攀	攀	pān	攀登，攀谈，高攀		
番	番	pān	番禺	（地名）	
乓	乓	pāng	乒乓球		
滂	滂	pāng	大雨滂沱		
泡	泡	pāo	眼泡，豆泡，一泡尿，一泡屎		
脬	脬	pāo	尿脬		
抛	拋	pāo	抛弃，抛开		
胚	胚	pēi	胚胎，胚芽		
呸	呸	pēi			
喷	噴	pēn	喷射，喷水，喷气		
抨	抨	pēng	抨击		
怦	怦	pēng	怦怦		
烹	烹	pēng	烹调，烹饪		
砰	砰	pēng			
捧	捧	pěng	捧场		
劈	劈	pī	劈开，劈柴，劈头，劈面，劈山，劈啪，雷劈，劈头劈脑，劈头劈脸，劈风斩浪，劈里啪啦，直劈而下，天打雷劈	破开，裂开；（象声词）爆裂、拍打、撞击等声音	
丕	丕	pī		大	
披	披	pī	披肩，披头散发		
纰	紕	pī	纰漏，纰缪		
批	批	pī	批准，批评，批发		
霹	霹	pī	霹雳		
邳	邳	pī/péi	邳州	（地名）	
坯	坯	pī/pēi	坯布，砖坯，毛坯	没有烧过的砖瓦或陶器，也泛指半制成品	
姘	姘	pīn	姘夫，姘妇，姘居	男女同居	
拼	拼	pīn	拼命，拼凑		
乒	乒	pīng	乒乓球		
娉	娉	pīng	娉婷		
颇	頗	pō	偏颇	偏，不正	
泊	泊	pō	湖泊，水泊，血泊，梁山泊，罗布泊	湖	
泼	潑	pō	泼辣，活泼		
钋	釙	pō		化学元素84	
坡	坡	pō	坡度，斜坡	倾斜的地方	
颇	頗	pō/pǒ	颇久，颇大，颇多，颇少，颇感兴趣，颇有诚意，颇不以为然	略微，稍，很，甚	
剖	剖	pōu/pǒu	剖析，解剖		
仆	仆	pū	前仆后继	跌倒；以面伏地	
噗	噗	pū	噗哧	（象声词）	
扑	撲	pū	扑过来，扑鼻，扑面，飞蛾扑火		
铺	鋪	pū	铺床，铺展，铺路	动词	
潽	潽	pū		液体沸腾溢出	
跑	跑	pǎo	跑步，慢跑		
匹	匹	pǐ	匹配，匹夫，一匹马		
癖	癖	pǐ	怪癖，洁癖		
吡	吡	pǐ		斥责，诋毁	
痞	痞	pǐ	痞子，地痞		
仳	仳	pǐ	仳离	分离，离别	
匹	疋	pǐ		（量词）用于绸、布等的整卷	
圮	圮	pǐ	圮毁，倾圮	毁坏，倒塌	
劈	劈	pǐ	劈叉，劈成两股	分开，分裂，叉开	
否	否	pǐ	否极泰来	坏，恶，不好	
品	品	pǐn	品质，物品		
叵	叵	pǒ	叵测，居心叵测	不可	
笸	笸	pǒ	笸箩	盛谷物的器具	
普	普	pǔ	普通		
谱	譜	pǔ	谱曲，食谱，离谱		
浦	浦	pǔ		河边或河水流入海的地方	
圃	圃	pǔ	花圃，园圃	种植蔬菜、花草、瓜果的园地	
溥	溥	pǔ	溥仪	广大，普遍	
埔	埔	pǔ	黄埔	（地名）	
朴	樸	pǔ/pú	朴素，朴实，纯朴	未加工的木料	
蹼	蹼	pǔ/pú	蹼趾，蹼足	水鸟、爬虫动物等脚趾间的薄膜	
恰	恰	qià	恰当，恰好，恰恰		
洽	洽	qià	洽商，面洽，融洽		
髂	髂	qià	髂骨		
欠	欠	qiàn	欠缺，欠佳，哈欠		
歉	歉	qiàn	歉意，抱歉		
嵌	嵌	qiàn	镶嵌		
芡	芡	qiàn	芡实，勾芡		
倩	倩	qiàn	倩影		
堑	塹	qiàn	堑壕，天堑		
茜	茜	qiàn	茜草，茜纱	红色	
跄	蹌	qiàng	踉跄		
戗	戧	qiàng	戗住，戗面，够戧，戗不住	支撑，支持，承受；填	
呛	嗆	qiàng	呛人	刺激性的气味使人呼吸感到难受	
炝	熗	qiàng	炝锅	一种烹调方法	
俏	俏	qiào	俏皮，俊俏		
鞘	鞘	qiào	剑鞘		
窍	竅	qiào	窍门，诀窍		
壳	殼	qiào	外壳，地壳，金蝉脱壳	硬的外皮	
撬	撬	qiào			
峭	峭	qiào	峭壁，陡峭		
翘	翹	qiào	翘尾巴，翘辫子	一端向上扬起，突起，高起	
偢	偢	qiào		（方言）傻	
诮	誚	qiào			
拤	拤	qiá	拤腰	用手掐住	
前	前	qián	前面，以前		
潜	潛	qián	潜水，潜力，潜意识		
乾	乾	qián	乾坤，乾宅	八卦之一，代表天、男方等意思	
黔	黔	qián	黔驴技穷		
钱	錢	qián	钱币，赚钱		
掮	掮	qián	掮客	运在肩上	
钳	鉗	qián			
虔	虔	qián	虔诚		
犍	犍	qián	犍为县	（地名）	
墙	牆	qiáng	墙壁，围墙		墻
樯	檣	qiáng	帆樯，桅樯	船上挂帆的桅杆	
强	強	qiáng	强壮，强大，坚强	有力	
蔷	薔	qiáng	蔷薇		
瞧	瞧	qiáo	瞧见，小瞧		
翘	翹	qiáo	翘首，翘盼	举起，抬起，向上	
荞	蕎	qiáo	荞麦，荞面饸饹		
樵	樵	qiáo	樵夫	木柴	
乔	喬	qiáo	乔木，乔装	高	
桥	橋	qiáo	桥梁，天桥		
憔	憔	qiáo	憔悴		
侨	僑	qiáo	侨居，华侨	寄居国外	
锲	鍥	qiè	锲而不舍	用刀子刻	
妾	妾	qiè	爱妾，纳妾，臣妾		
窃	竊	qiè	窃喜，偷窃		
切	切	qiè	切实，切题，切记，切齿，一切，亲切，密切，贴切，迫切，急切，恳切，心切，切身，不切实际	贴近，密合，符合，急迫，务必，一定，所有的	
箧	篋	qiè	囊箧羞涩，倾箱倒箧	箱子一类的东西	
惬	愜	qiè	惬意		
挈	挈	qiè	挈领，扶老挈幼	提起，举起，提携，带领	
怯	怯	qiè/què	怯懦，胆怯		
茄	茄	qié	茄子，番茄	一种蔬菜	
琼	瓊	qióng	琼瑶	美玉，精美	
穷	窮	qióng	穷困，贫穷		
邛	邛	qióng	邛崃	（地名）	
穹	穹	qióng/qiōng	穹顶，苍穹	天空	
犰	犰	qiú	犰狳		
虬	虯	qiú	虬髯，虬龙		
求	求	qiú	求学，请求		
囚	囚	qiú	囚犯，死囚		
毬	毬	qiú		古代皮制球	
酋	酋	qiú	酋长，阿联酋	部落的首领	
泅	泅	qiú	泅水		
仇	仇	qiú		（姓）	
逑	逑	qiú	君子好逑	配偶	
球	球	qiú	球场，地球		
裘	裘	qiú	狐裘，集腋成裘		
遒	遒	qiú	遒劲，遒健	强健	
璆	璆	qiú	璆琳，璆然，璆磬	美玉	
𨱇	銶	qiú		一种凿子	
俅	俅	qiú	俅人，俅江	恭顺的样子	
掐	掐	qiā	掐着指头		
袷	袷	qiā	袷袢	一种对襟长袍	
葜	葜	qiā	菝葜		
谦	謙	qiān	谦虚，谦让，谦逊		
千	韆	qiān	秋千	（数字）	
牵	牽	qiān	牵手，牵连，牵挂		
迁	遷	qiān	迁移，变迁		
骞	騫	qiān			
仟	仟	qiān		数字“千”的大写	
铅	鉛	qiān	铅笔		
签	籤	qiān	签子，牙签，书签，标签		簽
千	千	qiān			
签	簽	qiān	签名，签证，签注		
阡	阡	qiān	阡陌	田间小路	
芊	芊	qiān	芊芊	草木茂盛的样子	
枪	槍	qiāng	枪械，开枪		鎗
腔	腔	qiāng	腔调，京腔		
戗	戧	qiāng	戗风，说戗了，说话戗人	逆，不顺，方向相对；决裂，言语冲突	
锵	鏘	qiāng	锵锵，铿锵	（象声词）	
呛	嗆	qiāng	呛水，呛着，够呛	食物进入气管而引起咳嗽	
羌	羌	qiāng	羌族		
蜣	蜣	qiāng	蜣螂		
抢	搶	qiāng	抢风，抢眼，呼天抢地	触，撞，触碰，碰撞	
戕	戕	qiāng/qiáng	戕害，自戕	杀害	
悄	悄	qiāo	悄悄，悄悄话，静悄悄		
跷	蹺	qiāo			
敲	敲	qiāo	敲门，推敲	击打	
橇	橇	qiāo	雪橇		
锹	鍬	qiāo	铁锹，锹把	一种铲土的工具	
雀	雀	qiāo	雀子	雀斑	
切	切	qiē	切割，切菜，切开，切断，切入，切磋，切面	用刀把东西切断	
且	且	qiě	且慢，而且		
秋	秋	qiū	秋天，入秋		
丘	丘	qiū	丘陵，山丘		
秋	鞦	qiū	秋千		
蚯	蚯	qiū	蚯蚓		
鳅	鰍	qiū	泥鳅		
邱	邱	qiū		（姓）	
楸	楸	qiū			
龟	龜	qiū	龟兹	（古）国名	
卡	卡	qiǎ	卡住，卡紧，卡子，关卡，发卡，税卡	夹在中间不能活动；夹子	
遣	遣	qiǎn	遣送，派遣，消遣		
浅	淺	qiǎn	浅薄，浅显，肤浅，搁浅	不深	
谴	譴	qiǎn	谴责，天谴	责备，申斥	
缱	繾	qiǎn	缱绻		
抢	搶	qiǎng	抢劫，抢夺，抢救，抢先，抢走，争抢	夺取，硬拿	
强	強	qiǎng	强迫，强求，勉强，牵强，强词夺理，强人所难，牵强附会	硬要，迫使，勉强	
羟	羥	qiǎng	羟基	氢氧基	
悄	悄	qiǎo	悄没声，悄然		
巧	巧	qiǎo	巧合，技巧		
雀	雀	qiǎo	雀盲眼，家雀儿	（方言）雀，麻雀	
糗	糗	qiǔ	糗事，出糗		
券	券	quàn	奖券，赠券		
劝	勸	quàn	劝告，相劝		
全	全	quán	全部，完全		
泉	泉	quán	泉水，源泉，矿泉		
拳	拳	quán	拳头		
权	權	quán	权力，权利		
痊	痊	quán	痊愈		
诠	詮	quán	诠释		
蜷	蜷	quán	蜷缩，蜷曲	肢体不伸展	
颧	顴	quán	颧骨		
铨	銓	quán			
醛	醛	quán	酚醛塑料		
鬈	鬈	quán	鬈发	毛发卷曲	
荃	荃	quán			
筌	筌	quán	得鱼忘筌	捕鱼的竹器	
悫	慤	què		诚实，忠厚	
确	確	què	确实，准确		
雀	雀	què	雀跃，麻雀		
却	卻	què	忘却，冷却		
鹊	鵲	què	喜鹊		
榷	榷	què	商榷	商讨	
阙	闕	què	天阙，宫阙	古代宫殿门前两边的瞭望楼台，泛指帝王	
阕	闋	què			
瘸	瘸	qué	瘸腿，瘸子		
圈	圈	quān	圈子，圈套，圈点，圈选，圆圈，花圈，绕圈，项圈	环形的东西	
悛	悛	quān	怙恶不悛	悔改，改过	
缺	缺	quē	缺乏，欠缺		
炔	炔	quē	炔烃，乙炔		
犬	犬	quǎn	猎犬，警犬，鸡犬不宁	狗	
畎	畎	quǎn	畎亩	田间小沟	
绻	綣	quǎn	缱绻		
泣	泣	qì	哭泣，泣不成声		
气	氣	qì	气候，天气		
迄	迄	qì	迄今，迄止		
器	器	qì	器材，机器		
葺	葺	qì	修葺		
憩	憩	qì	休憩		
契	契	qì	契约，投契	用刀雕刻；所刻的文字；意志相合，投合	
汽	汽	qì	汽笛，水汽		
砌	砌	qì			
弃	棄	qì	放弃		
讫	訖	qì	收讫，验讫	完结，完毕	
碛	磧	qì	碛沙，冰碛	砂石，沙漠，积成浅滩的沙石	
槭	槭	qì/cù	槭树	一种落叶小乔木	
沁	沁	qìn	沁人心脾	渗入	
庆	慶	qìng	庆祝，欢庆		
罄	罄	qìng	罄竹难书		
磬	磬	qìng	磬石		
亲	親	qìng	亲家，亲家公，亲家母	指两家儿女相婚配的亲戚关系	
崎	崎	qí	崎岖，崎岖不平		
祈	祈	qí	祈祷		
脐	臍	qí	脐带，肚脐		
俟	俟	qí	万俟	（姓）	
岐	岐	qí	岐山	（地名）	
棋	棋	qí	棋盘，下棋		
耆	耆	qí	耆老，耆宿		
萁	萁	qí			
麒	麒	qí	麒麟		
旂	旂	qí			
旗	旗	qí	旗帜，国旗		
祺	祺	qí		吉祥	
琦	琦	qí			
淇	淇	qí	冰淇淋		
鳍	鰭	qí	鱼鳍，背鳍，尾鳍		
骑	騎	qí	骑马，骑车，骑墙	指骑马，也泛指两腿跨在东西上	
其	其	qí	其他，极其		
琪	琪	qí			
歧	歧	qí	歧视，分歧		
畦	畦	qí			
奇	奇	qí	奇怪，奇迹，奇兵，稀奇，惊奇，不足为奇	特别，怪异，罕见，特殊，不寻常	
齐	齊	qí	齐全，整齐		
蕲	蘄	qí	蕲春	（水名，地名）祈求	
祁	祁	qí	祁山，祁阳	（地名，姓）	
圻	圻	qí		边界，地界；方圆千里之地	
祇	祇	qí	神祇	（古）地神	祗
荠	薺	qí	荸荠	一种可供食用的草本植物	
蛴	蠐	qí	蛴螬		
锜	錡	qí			
骑	騎	qí/jì	骑士，骑兵，骑哨，轻骑，铁骑，坐骑，车骑，骑从，骑手，单骑，边骑，探骑，突骑，胡骑，骁骑，枭骑，骠骑，精骑，骑置，驿骑，一骑，千骑	指马兵，骑兵，或骑马的人	
琴	琴	qín	琴弦，钢琴		琹
勤	勤	qín	勤奋，值勤		
秦	秦	qín	秦国，秦始皇		
禽	禽	qín	禽兽，飞禽		
擒	擒	qín	擒拿，擒捉，欲擒故纵		
噙	噙	qín			
芹	芹	qín	芹菜，香芹		
螓	螓	qín	螓首，螓首蛾眉	一种蝉	
嗪	嗪	qín	吖嗪，哌嗪，哒嗪	（译音用字）	
情	情	qíng	情节，心情		
氰	氰	qíng			
晴	晴	qíng	晴天，放晴		
擎	擎	qíng	擎天大柱		
黥	黥	qíng	黥字，黥面	在犯人脸上刺字	
去	去	qù			
觑	覷	qù	小觑，面面相觑	看	
趣	趣	qù	趣味，兴趣		
瞿	瞿	qú		（姓）	
蠼	蠼	qú	蠼螋		蠷
渠	渠	qú	渠道，排水渠		
璩	璩	qú	耳璩	玉环，古代耳环	
朐	朐	qú	临朐	（地名）	
衢	衢	qú	衢道，通衢	大路，四通八达的道路	
劬	劬	qú	劬劬，劬劳	勤劳，劳苦	
群	群	qún	群众，人群		羣
裙	裙	qún	裙子，围裙		
凄	淒	qī	凄惨，凄凉	寒冷；悲伤	
悽	悽	qī			
柒	柒	qī		数字“七”的大写	
七	七	qī		（数字）	
漆	漆	qī	油漆		
沏	沏	qī	沏茶		
戚	戚	qī	戚友，亲戚		
栖	棲	qī	栖息，两栖		
妻	妻	qī	妻子		
欺	欺	qī	欺负		
娸	娸	qī	丑化		
期	期	qī/qí	期间，期限，期待，期望，期刊，期末，期满，时期，到期，长期，假期，定期，星期，如期，过期，学期，周期，初期，不期而遇，遥遥无期	限定的时间	
蹊	蹊	qī/xī	蹊跷，跷蹊	奇怪，可疑	
亲	親	qīn	亲戚，探亲		
钦	欽	qīn	钦佩，钦赐，钦差		
侵	侵	qīn	侵犯，入侵		
衾	衾	qīn	衾枕，衾衣，衾褥	被子	
轻	輕	qīng	轻松，年轻		
卿	卿	qīng	卿卿我我，国务卿		
蜻	蜻	qīng	蜻蜓		
清	清	qīng	清楚，冷清		
青	青	qīng	青春，青年		
氢	氫	qīng	氢气		
倾	傾	qīng	倾斜，倾听		
鲭	鯖	qīng	鲭魚		
蛆	蛆	qū	蛆虫，蝇蛆	苍蝇的幼虫	
躯	軀	qū	躯体，身躯		
岖	嶇	qū	崎岖不平		
区	區	qū	区域，地区		
屈	屈	qū	屈指，委屈		
趋	趨	qū	趋势，日趋严重		
祛	祛	qū	祛除，祛病，祛疑	去除	
驱	驅	qū	驱动，驱散，驱逐		
曲	曲	qū	曲折，弯曲	弯的	
胠	胠	qū	胠箧，胠橐	从旁边撬开或打开	
诎	詘	qū		屈服，折服；艰涩，钝拙	
袪	袪	qū			
曲	麴	qū/qú	酒曲，曲蘖	用来酿酒的发酵剂	
绮	綺	qǐ	绮丽	美丽	
启	啟	qǐ	启动，开启		啓
