啊	啊	a·	不错啊，多美啊，快来啊，很好啊，小心啊	（助词）表示赞叹、惊叹、疑问、肯定、辩解、催促，停顿、列举等语气	
耽	耽	dān	耽误，耽搁	拖延	
郸	鄲	dān	邯郸	（地名）	
眈	眈	dān	虎视眈眈	眼睛注视的样子	
聃	聃	dān	聃周，老聃	（用于人名）	
儋	儋	dān	儋县，儋州	（地名）	
瘅	癉	dān	瘅疟，瘅热	中医指疟疾的一种	
殚	殫	dān	殚精竭虑	尽，竭尽	
当	當	dāng	当下，当中，当然，当心，当时，当代，当众，当兵，当官，当家，当初，当地，当头，当局，当选，当道，当面，应当，担当，敢当，正当，相当，当老师，不敢当	担任，执掌，承担，面向，阻拦，应该，正在	
当	噹	dāng	叮当，当啷	象声词	
铛	鐺	dāng	锒铛入狱	撞击金属的声音	
裆	襠	dāng	裤裆，开裆裤	裤腿相连的地方	
刀	刀	dāu	刀叉，剪刀		
叨	叨	dāu	叨念，叨叨，唠叨，絮叨，念叨，磨叨，絮絮叨叨	罗嗦，话多	
灯	燈	dēng	灯光，开灯		
登	登	dēng	登记，刊登		
噔	噔	dēng	噔噔地响	（象声词）	
蹬	蹬	dēng/dèng			
得	得	děi		必须，须要	
等	等	děng	等待，平等		
戥	戥	děng	戥子，戥秤	一种小秤	等
滴	滴	dī			
低	低	dī	低调，低头，降低		
提	提	dī	提溜	垂手拿着	
的	的	dī/dí	的哥，打的，的士	的士的简称，指出租汽车	
堤	堤	dī/tí	堤坝，河堤	一种防洪的建筑物	隄
提	提	dī/tí	提防	小心防备	
仃	仃	dīng	孤苦伶仃		
丁	丁	dīng	丁点，男丁		
钉	釘	dīng	钉子，眼中钉	（名词）指钉子；（动词）监视，盯	
盯	盯	dīng	盯住，盯视，盯紧		
町	町	dīng		（地名）	
叮	叮	dīng			
玎	玎	dīng			
兜	兜	dōu	兜圈，肚兜		
都	都	dōu	全都	全部，所有	
督	督	dū	督察，监督		
都	都	dū	都市，首都	首都	
嘟	嘟	dū	嘟嘴，嘟囔，嘟噜		
冬	冬	dūng	冬眠，严冬		
咚	咚	dūng	黑咕隆咚	（象声词）	
氡	氡	dūng		化学元素86	
东	東	dūng	东方，股东		
打	打	dǎ	打鼓，打扫，打更，打碎，打人，打架，打仗，打猎，打开，打赌，打算，敲打，拍打，攻打，殴打，打招呼，打擂台，打喷嚏，打呵欠，打草惊蛇，打抱不平，打退堂鼓，精打细算，一网打尽，趁火打劫，无精打采	拍，敲，捶，敲击，拍打；也表示某些特定的动作、活动、行动等	
傣	傣	dǎi	傣族		
歹	歹	dǎi	歹徒，好歹		
胆	膽	dǎn	胆子，大胆		
疸	疸	dǎn	黄疸		
掸	撢	dǎn	掸子，掸土	拂尘用具，以鸡毛或不条作成；用掸子扫去灰尘	撣
掸	撣	dǎn	掸掸	儆戒；恭敬	
亶	亶	dǎn	亶厚，亶信	实在，忠厚，诚然	
挡	擋	dǎng	阻挡		
党	黨	dǎng	党员，死党		
岛	島	dǎu	岛屿，冰岛		
捣	搗	dǎu	捣乱，捣蛋		
倒	倒	dǎu	倒塌，倒向，倒霉，倒闭，倒换，倒胃口，摔倒，跌倒，滑倒，颠倒，排山倒海	竖立的东西落下来；转换，更换，调转	
导	導	dǎu	导致，辅导		
祷	禱	dǎu	祷告，祈祷		
蹈	蹈	dǎu/dàu	舞蹈		
骶	骶	dǐ	骶骨	尾骨	
邸	邸	dǐ	官邸		
柢	柢	dǐ	根柢，根深柢固		
诋	詆	dǐ	诋毁		
底	底	dǐ	底部，海底		
抵	抵	dǐ	抵抗，抵达		
鼎	鼎	dǐng			
顶	頂	dǐng	顶尖，屋顶		
酊	酊	dǐng	酩酊大醉		
蚪	蚪	dǒu	蝌蚪		
抖	抖	dǒu	抖擞，发抖		
陡	陡	dǒu	陡峭		
斗	斗	dǒu	斗笠，烟斗，熨斗，漏斗，筋斗，北斗星		
赌	賭	dǔ	赌场，打赌		
笃	篤	dǔ	笃信，笃定	忠诚	
睹	睹	dǔ	目睹，先睹为快		
堵	堵	dǔ	堵塞		
懂	懂	dǔng	懂事，易懂		
董	董	dǔng	董事，古董		
二	二	er`		（数字）	
贰	貳	er`		数字“二”的大写	
儿	兒	er´	儿子，女儿，婴儿		
而	而	er´	而且，然而		
迩	邇	erˇ	闻名遐迩		
耳	耳	erˇ	耳朵，木耳		
洱	洱	erˇ	普洱茶		
饵	餌	erˇ	诱饵，鱼饵		
尔	爾	erˇ			
佛	佛	fwó	佛教，活佛		
珐	琺	fà	珐琅质		
发	髮	fà/fǎ	发型，头发		
贩	販	fàn	贩卖，小贩		
范	範	fàn	范围，模范		
饭	飯	fàn	饭馆，白饭		
犯	犯	fàn	犯错，罪犯		
梵	梵	fàn	梵文		
范	范	fàn		（姓）	
泛	泛	fàn			氾，汎
放	放	fàng	放手，开放		
阀	閥	fá	财阀，军阀		
筏	筏	fá	木筏		
乏	乏	fá	乏味，贫乏		
罚	罰	fá	罚款，处罚		
伐	伐	fá/fā	伐木，砍伐		
凡	凡	fán	凡人，平凡		
烦	煩	fán	烦恼，麻烦		
繁	繁	fán	繁忙，频繁		
樊	樊	fán	樊篱		
钒	釩	fán		化学元素23	
蕃	蕃	fán	蕃茂，蕃昌	草木茂盛	
矾	礬	fán	明矾，胆矾		
璠	璠	fán	璠玛，玙璠	美玉，宝玉	
房	房	fáng	房子，卧房		
防	防	fáng	防止，预防		
肪	肪	fáng	脂肪		
妨	妨	fáng	妨碍，不妨		
费	費	fèi	费用，浪费		
狒	狒	fèi	狒狒		
沸	沸	fèi	沸腾，煮沸		
吠	吠	fèi	吠叫，狗吠		
废	廢	fèi	废铁，残废		
肺	肺	fèi	肺脏，肺腑		
奋	奮	fèn	奋斗，兴奋		
分	分	fèn	分量，部分，成分，身分，过分，本分，名分，缘分，情分，糖分，养分	整体中的局部	份
愤	憤	fèn	愤怒，义愤		
粪	糞	fèn			
份	份	fèn	股份，省份，县份，年份，月份，一份报纸，一份工作，一份礼物，一份薪水	整体中的一个单位；（量词）用于报刊、文件、定量事物等	
忿	忿	fèn	忿忿不平，不忿		
凤	鳳	fèng	凤凰，龙凤		
奉	奉	fèng	奉献，信奉		
缝	縫	fèng	缝子，缝隙，裂缝，门缝	（名词）空隙，细长的口子；接合的地方	
俸	俸	fèng	俸禄，年俸，薪俸	官吏的薪金	
肥	肥	féi	肥胖，施肥		
腓	腓	féi	腓骨	腿肚子，胫骨后的肉	
焚	焚	fén	焚烧，自焚		
汾	汾	fén	汾河	（水名）	
坟	墳	fén/fèn	坟墓，坟场		
逢	逢	féng	逢迎，相逢		
缝	縫	féng	缝纫，缝补，缝上，裁缝	（动词）用针线连结	
冯	馮	féng		（姓）	
否	否	fóu	否认，否定，否决，否则，是否，可否，与否	不然，反对，不同意	
腹	腹	fù	腹部，剖腹		
负	負	fù	负面，欺负		
蝮	蝮	fù	蝮蛇		
覆	覆	fù	覆舟，覆灭，颠覆，倾覆	倾跌，翻倒；回答；罩住，盖住；失败，毁灭；再次，再来	
讣	訃	fù	讣闻，讣告		
馥	馥	fù	馥郁		
付	付	fù	付帐，应付		
富	富	fù	富有，财富		
赴	赴	fù	赴约，赴会，赴考		
复	復	fù	复习，复仇，康复，报复	去而又来，失而又得；回答；报	
赋	賦	fù	赋予，天赋		
傅	傅	fù	师傅		
副	副	fù	副词，副作用，副总统		
妇	婦	fù	妇女，夫妇		
咐	咐	fù	吩咐		
父	父	fù	父母，伯父		
复	複	fù	复杂，复数，复制，重复	重叠，繁杂	
附	附	fù	附近，附加，依附		
阜	阜	fù	物阜民丰	土山；盛，丰富，多	
服	服	fù	一服汤药	（量词）用于中药服用剂量	
鲋	鮒	fù	鲋鱼，涸辙之鲋	古代指鲫鱼	
驸	駙	fù	驸马	备用的马，驾副车的马	
缚	縛	fù/fú	缚住，束缚	捆，绑	
服	服	fú	服务，衣服		
福	福	fú	福气，幸福		
扶	扶	fú	扶手，搀扶		
符	符	fú	符号，字符		
幅	幅	fú	幅度，篇幅		
拂	拂	fú			
浮	浮	fú	浮动，漂浮		
辐	輻	fú	辐射		
俘	俘	fú	俘虏，被俘		
蝠	蝠	fú	蝙蝠		
匐	匐	fú	匍匐		
芙	芙	fú	芙蓉		
伏	伏	fú	伏法，埋伏		
袱	袱	fú	包袱		
孚	孚	fú	深孚众望	信用	
氟	氟	fú		化学元素9	
茯	茯	fú	茯苓		
弗	弗	fú			
佛	彿	fú	仿佛		
莩	莩	fú	葭莩	芦苇秆子里面的薄膜	
宓	宓	fú		（姓）	
涪	涪	fú	涪江，涪陵	（水名）	
蜉	蜉	fú	蜉蝣	一种生活在水中的昆虫	
苻	苻	fú			
发	發	fā	发现，出发		
番	番	fān	一番，轮番，三番五次	（量词）种，样，回，次，遍；更替，替换	
番	番	fān	番人，番邦，番茄，番薯，番石榴	未开化的；外国的，外族的	蕃
帆	帆	fān	帆布		
翻	翻	fān	翻译，推翻		飜，繙
藩	藩	fān	藩篱，藩属，外藩		
幡	幡	fān			
旛	旛	fān			
帆	帆	fān/fán	帆船，扬帆		
芳	芳	fāng	芳香，芬芳		
坊	坊	fāng	坊间，街坊		
方	方	fāng	方法，平方		
邡	邡	fāng	什邡	（地名）	
非	非	fēi	非常，除非		
飞	飛	fēi	飞行，起飞		
妃	妃	fēi	妃子，王妃		
啡	啡	fēi	咖啡，吗啡		
扉	扉	fēi	扉页，心扉	门	
绯	緋	fēi	绯闻，绯红		
鲱	鯡	fēi	鲱鱼	一种海鱼	
菲	菲	fēi	菲菲，芳菲	花草茂盛	
蜚	蜚	fēi	蜚声，流言蜚语		
霏	霏	fēi	霏霏，烟霏云敛	飘扬	
分	分	fēn	分开，分别，分数，分裂，分明，分离，分出，分散，分隔，分辨，分割，分成，分手，分担，分支，分局，分会，分校，分贝，分配，分钟，分队，分头，区分，满分，划分，零分，分工作，分公司，一百分，百分之一，分清是非，分一杯羹，不分青红皁白	把整体变成几个局部的个体；辨别，区别，离别；（量词）长度、时间、成绩、钱等的单位	
氛	氛	fēn	氛围，气氛		
吩	吩	fēn	吩咐		
纷	紛	fēn	纷乱，纷纭，纠纷，缤纷		
芬	芬	fēn	芬芳		
酚	酚	fēn	酚醛塑料	一种有机化合物	
棻	棻	fēn			
风	風	fēng	风俗，凉风		
烽	烽	fēng	烽火，烽火台		
丰	豐	fēng	丰富，丰盛		
疯	瘋	fēng	疯狂，发疯		
封	封	fēng	封闭，信封		
丰	丰	fēng	丰姿，丰采		
枫	楓	fēng	枫树，枫叶		
锋	鋒	fēng	锋锐，先锋		
峰	峰	fēng	山峰，巅峰，高峰		峯
蜂	蜂	fēng	蜂蜜，黄蜂		
酆	酆	fēng		（地名）	
犎	犎	fēng	犎牛	一种背部隆起如骆驼的野牛	
诽	誹	fěi	诽谤		
斐	斐	fěi	斐济		
菲	菲	fěi	妄自菲薄	微薄	
匪	匪	fěi	匪徒，土匪		
翡	翡	fěi	翡翠		
榧	榧	fěi	榧子，打榧子	榧子树，一种常绿乔木	
悱	悱	fěi	悱恻，缠绵悱恻	想说而说不出的样子	
粉	粉	fěn	粉末，米粉		
讽	諷	fěng/fèng/fēng	讽刺，嘲讽		
肤	膚	fū	肤浅，皮肤		
夫	夫	fū	夫人，丈夫		
敷	敷	fū			
孵	孵	fū	孵卵，孵蛋，孵小鸡		
麸	麩	fū	麸子，麸皮		
趺	趺	fū	趺坐，跏趺	脚背	
伕	伕	fū	车伕，力伕	做粗重工作的人	
跗	跗	fū	跗骨，跗面	脚背	
法	法	fǎ	法律，办法		
反	反	fǎn	反面，相反		
返	返	fǎn	返回，往返		
访	訪	fǎng	访问，拜访		
仿	仿	fǎng	仿效，模仿		倣
仿	彷	fǎng	仿佛	好像，似乎	
纺	紡	fǎng	纺织		
舫	舫	fǎng	画舫，石舫	船	
辅	輔	fǔ	辅导，辅助		
府	府	fǔ	府上，政府，官府		
甫	甫	fǔ			
腐	腐	fǔ	腐败，豆腐		
斧	斧	fǔ	斧头，班门弄斧		
脯	脯	fǔ	果脯，杏脯，桃脯，肉脯	果干，肉干	
腑	腑	fǔ	腑脏，肺腑		
俯	俯	fǔ	俯瞰，俯冲，俯卧撑		
釜	釜	fǔ	釜底抽薪		
拊	拊	fǔ	拊掌，搏拊	拍	
抚	撫	fǔ	抚养，爱抚		
褂	褂	gwà	马褂，大褂，布褂		
挂	掛	gwà			
卦	卦	gwà	八卦，卜卦		
怪	怪	gwài	怪物，奇怪		
冠	冠	gwàn	冠军，夺冠，冠以	动词，指戴帽子或加上名号，也指竞赛中获得第一名	
贯	貫	gwàn	贯彻，一贯		
灌	灌	gwàn	灌溉，灌木		
鹳	鸛	gwàn	鹳鸟	一种水鸟	
盥	盥	gwàn	盥洗		
罐	罐	gwàn	罐头，罐装		
掼	摜	gwàn			
惯	慣	gwàn	习惯		
观	觀	gwàn	道观，楼观	道教的寺庙	
逛	逛	gwàng	逛街，闲逛		
桄	桄	gwàng	桄子，线桄儿	指桄子，一种绕线器具	
柜	櫃	gwèi	柜台，衣柜		
桂	桂	gwèi	桂冠，肉桂		
贵	貴	gwèi			
跪	跪	gwèi			
炔	炔	gwèi		（姓）	
炅	炅	gwèi		（姓）	
刽	劊	gwèi/kwài	刽子手		
桧	檜	gwèi/kwài		刺柏，一种常绿乔木	
过	過	gwò	过去，经过		
虢	虢	gwó		周代诸侯国名	
腘	膕	gwó	腘窝	膝部的后面	
帼	幗	gwó	巾帼		
国	國	gwó	国家，外国		
棍	棍	gwùn			
刮	刮	gwā	刮脸		
刮	颳	gwā	刮风		
括	括	gwā	挺括	平整不变形	
呱	呱	gwā	呱呱叫		
瓜	瓜	gwā	瓜果，西瓜		
乖	乖	gwāi	乖巧		
掴	摑	gwāi/gwó	掴耳光，掌掴	用巴掌打	
关	關	gwān	关系，海关		
观	觀	gwān	观察，观摩，观念，乐观，参观，壮观，奇观，客观，静观其变，走马观花	看，看法，样子，景象	
官	官	gwān	官方		
冠	冠	gwān	冠冕，桂冠	名词，指帽子	
倌	倌	gwān	牛倌，堂倌	服杂役的人，饲养某牲畜的人	
鳏	鰥	gwān	鳏夫		
棺	棺	gwān	棺材		
纶	綸	gwān	纶巾	青丝带	
莞	莞	gwān	莞草	（姓、植物名）	
胱	胱	gwāng	膀胱		
光	光	gwāng	光明，阳光		
桄	桄	gwāng	桄榔	一种常绿乔木	
龟	龜	gwēi	海龟，乌龟		
归	歸	gwēi	归还，回归		
硅	硅	gwēi		化学元素14	
闺	閨	gwēi	闺房，深闺	女子所住的内室	
鲑	鮭	gwēi	鲑鱼		
瑰	瑰	gwēi	玫瑰		
圭	圭	gwēi	圭臬，奉为圭臬	把某些事物﹑言论信奉为依据的准则	
规	規	gwēi	规则，违规		
皈	皈	gwēi	皈依	佛教的入教儀式	
珪	珪	gwēi		（古）玉圭	
轨	軌	gwěi	轨道，铁轨		
晷	晷	gwěi	日晷		
诡	詭	gwěi	诡异，诡秘，诡计多端		
鬼	鬼	gwěi			
癸	癸	gwěi			
庋	庋	gwěi/jǐ	庋阁，庋藏，倾筐倒庋	放置物品的架子或箱架	
锅	鍋	gwō	锅贴，火锅		
郭	郭	gwō		（姓）	
蝈	蟈	gwō	蝈蝈儿	一种节肢动物门昆虫	
埚	堝	gwō	坩埚	盛东西的陶器	
聒	聒	gwō/gwā	聒噪，聒耳	嘈杂，令人厌烦的声音	
剐	剮	gwǎ	千刀万剐		
寡	寡	gwǎ	寡妇，多寡		
呱	呱	gwǎ	拉呱儿	（方言）闲谈	
拐	柺	gwǎi	拐棍，拐杖	行走时支持身体的拄棍	
拐	拐	gwǎi	拐弯，诱拐	转弯；腿瘸；诱骗	
馆	館	gwǎn	馆子，餐馆		
管	管	gwǎn	管理		
莞	莞	gwǎn	东莞	（地名）	
广	廣	gwǎng	广大，宽广		
犷	獷	gwǎng	粗犷		
裹	裹	gwǒ	裹脚，包裹		
果	果	gwǒ	果汁，水果		
椁	槨	gwǒ	棺椁	古代棺材外面的套棺	
滚	滾	gwǔn	滚烫，摇滚		
鲧	鯀	gwǔn		（古）一种大鱼；（人名）夏禹的父亲	
磙	磙	gwǔn	磙子，石磙	用碌碡碾平场地、播种后的覆土等等	
尬	尬	gà	尴尬		
钙	鈣	gài			
丐	丐	gài	丐帮，乞丐		
概	概	gài	概括，大概		
盖	蓋	gài	盖子，盖上，盖好，盖世，覆盖，遮盖，涵盖，盖章，铺盖，瓶盖，膝盖，锅盖，杯盖，盖被子，盖房子，盖不住		
溉	溉	gài	灌溉		
淦	淦	gàn	淦水	（河流名）	
干	幹	gàn	干部，树干		
赣	贛	gàn	赣江，赣剧	江西省的别称	
杠	槓	gàng	抬杠，敲竹杠		
戆	戇	gàng/jwàng	戆直	愚而刚直	
告	告	gàu	告诉，报告		
诰	誥	gàu	诰命，诰封	帝王对臣子的命令	
锆	鋯	gàu		化学元素40	
郜	郜	gàu		（姓）	
轧	軋	gá	轧账，轧朋友，人轧人	（方言）挤，结交，核对	
噶	噶	gá	噶伦，噶厦	（音译用字）	
尜	尜	gá	尜儿，尜尜	两头尖中间大，如纺锤	
个	個	gè	个人，哪个		
各	各	gè			
铬	鉻	gè		化学元素24	
硌	硌	gè	硌脚，硌牙	（动词）碰到坚硬的东西而觉得不舒服	
艮	艮	gèn			
亘	亙	gèn/gèng	亘古以来，横亘	空间或时间延续不断	
更	更	gèng	更加，更好，更快，更多，更进一步，更上一层楼	再，又，越发；程度加深，动作继续或重复	
革	革	gé	革命，革新，革除，革履，革职，皮革，改革，变革，洗心革面	去毛加工的兽皮；改变，变更	
格	格	gé	格外，性格		
隔	隔	gé	隔壁，间隔		
阁	閣	gé	阁楼，内阁		
葛	葛	gé	葛藤，瓜葛，纠葛，杯葛	指葛麻或葛布	
膈	膈	gé	膈膜		
骼	骼	gé	骨骼		
嗝	嗝	gé	打嗝		
搁	擱	gé	搁不住，搁得住		
蛤	蛤	gé	蛤蜊，蛤蚧		
镉	鎘	gé		化学元素48	
哏	哏	gén		（方言）滑稽，有趣	
购	購	gòu	购买，邮购		
勾	勾	gòu	勾当	（贬）事情，事物	
媾	媾	gòu	媾和，交媾		
构	構	gòu	构造，结构		
够	夠	gòu			
垢	垢	gòu	垢污，耳垢		
诟	詬	gòu	诟病，嗔诟	耻辱，怒骂	
彀	彀	gòu	彀中，彀者	张满弓弩准备射箭，或弓箭能射及的范围	
故	故	gù	故事，事故		
固	固	gù	固定，牢固		
顾	顧	gù	顾虑，照顾		
雇	僱	gù	雇主，解雇		
锢	錮	gù	禁锢	限制	
梏	梏	gù	桎梏，五梏	古代拘束犯人两手的刑具，手铐	
贡	貢	gùng	贡献，朝贡		
共	共	gùng	共同，一共		
供	供	gùng	供奉，供品，供桌，供神，供认，供词，口供，招供	受审的人交代案情；把香烛或祭品设在牌位等处以表示敬奉；从事，担任	
咖	咖	gā	咖喱		
嘎	嘎	gā			
旮	旮	gā	旮旯，墙旮旯，山旮旯	角落，狭窄偏僻的地方	
该	該	gāi	该当，应该		
赅	賅	gāi	言简意赅	完备	
垓	垓	gāi	垓下歌，大会垓	荒远之地；界限，边际；古代数目名，指一万万	
甘	甘	gān	甘甜，甘心，甘愿		
尴	尷	gān	尴尬		
干	干	gān	干涉，干扰，干系		
苷	苷	gān	糖苷，葡萄苷	一种有机化合物，也叫甙	
柑	柑	gān	柑橘		
肝	肝	gān	肝脏，心肝		
干	乾	gān	干净，擦干		
杆	杆	gān	杆子，栏杆，电线杆	细长的东西	
竿	竿	gān	竿子，竹竿	竿子	
泔	泔	gān	泔水	淘米的水，洗过米的水；洗过碗菜的脏水	
酐	酐	gān		酸酐的简称	
坩	坩	gān	坩埚	盛东西的陶器	
冈	岡	gāng	冈峦，山冈		
缸	缸	gāng	缸盆，水缸		
纲	綱	gāng	纲要，大纲		
罡	罡	gāng	天罡星	北斗星的斗柄	
钢	鋼	gāng	钢铁，炼钢		
刚	剛	gāng	刚才，刚刚		
肛	肛	gāng	肛门		
高	高	gāu	高级，提高		
羔	羔	gāu	羔羊	小羊	
膏	膏	gāu	膏药，牙膏		
糕	糕	gāu	糕饼，蛋糕		
睾	睾	gāu	睾丸		
皋	皋	gāu		（水边的高地）	
戈	戈	gē			
割	割	gē	割让，切割		
哥	哥	gē	哥哥，大哥		
鸽	鴿	gē	鸽子，乳鸽		
胳	胳	gē	胳膊，胳肢窝		
歌	歌	gē	歌曲，唱歌		
搁	擱	gē	搁浅，耽搁		
仡	仡	gē	仡佬族		
疙	疙	gē	疙瘩		
纥	紇	gē	纥繨	纱线、织物等的疙瘩	
圪	圪	gē	圪节，圪蹴，圪针		
咯	咯	gē/gé	咯噔，咯吱，咯咯，咯咯笑	（象声词）形容笑声	
根	根	gēn	根本，树根		
跟	跟	gēn	跟随，脚跟		
耕	耕	gēng	耕田，深耕		
更	更	gēng	更改，更换，更衣，更动，更新，更正，变更，打更，更迭，更生，更定，三更半夜，更深人静	改变；经历；一夜的五分之一的时间	
羹	羹	gēng	羹汤，羹匙，闭门羹		
庚	庚	gēng			
鹒	鶊	gēng	鸧鹒	黄鹂	
赓	賡	gēng	赓续，赓扬	继续，接续，连续	
葛	葛	gě		（姓）	
盖	蓋	gě		（姓）	
舸	舸	gě		（古）一种大船	
给	給	gěi			
埂	埂	gěng	田埂		
梗	梗	gěng	梗塞，作梗	挺直，直爽，阻塞	
哽	哽	gěng	哽咽		
耿	耿	gěng	耿直，耿耿		
鲠	鯁	gěng	骨鲠	鱼骨，鱼刺；骨头卡在嗓子里	
篝	篝	gōu	篝火		
钩	鉤	gōu			鈎
勾	勾	gōu	勾结，勾搭，勾引，勾留，勾销	用笔描绘，删除；招引	
沟	溝	gōu	沟通，水沟		
佝	佝	gōu/kòu/hǒu	佝偻，佝偻着腰		
咕	咕	gū			
沽	沽	gū	沽名钓誉	买	
估	估	gū	估计，低估		
牯	牯	gū	牯牛		
姑	姑	gū	姑娘，尼姑		
辜	辜	gū	辜负，无辜		
轱	軲	gū	轱辘	车轮，转动，滚动	
孤	孤	gū	孤独，孤儿，孤立		
菇	菇	gū	香菇，蘑菇		菰
箍	箍	gū	铁箍，紧箍咒，金箍棒		
蛄	蛄	gū	蝼蛄		
觚	觚	gū	操觚，率尔操觚	古代用来写字的方形木板	
菰	菰	gū	菰首，菰稗，菰苇	茭白	
骨	骨	gū/gú	骨碌	滚转的样子	
恭	恭	gūng	恭敬，谦恭		
肱	肱	gūng	肱骨，股肱	胳膊从肩到肘的部位	
蚣	蚣	gūng	蜈蚣		
公	公	gūng	公园，外公		
弓	弓	gūng	弓箭，弹弓		
供	供	gūng	供给，供应，供水，供电，提供	把东西给需要的人使用，向别人提供某种条件	
功	功	gūng	功能，成功		
工	工	gūng	工人，打工		
宫	宮	gūng	宫廷，故宫		
躬	躬	gūng	鞠躬		
攻	攻	gūng	攻击，进攻		
龚	龔	gūng/gǔng		（姓）	
尕	尕	gǎ	尕娃，尕驴儿，小尕子	（方言）小	
改	改	gǎi	改变，更改		
敢	敢	gǎn	敢说，勇敢		
感	感	gǎn	感觉，同感		
赶	趕	gǎn			
擀	擀	gǎn			
杆	桿	gǎn	笔杆，枪杆	器物上细长像棍子的东西	
橄	橄	gǎn	橄榄		
秆	稈	gǎn	秆子，稻秆	谷类植物的茎	
岗	崗	gǎng	岗位，站岗		
港	港	gǎng	港口，海港		
稿	稿	gǎu	稿子，文稿		
搞	搞	gǎu			
槁	槁	gǎu	槁木，枯槁	枯干	
缟	縞	gǎu	缟带，缟衣	古代丝织品，白色	
杲	杲	gǎu	杲日	明亮	
镐	鎬	gǎu	镐头，铁镐	刨土的工具	
藁	藁	gǎu	藁城	（地名）	
狗	狗	gǒu	狗鱼，海狗		
枸	枸	gǒu	枸杞		
苟	苟	gǒu	苟同，苟合，苟且，苟活		
谷	穀	gǔ	谷物，五谷		
古	古	gǔ	古代，考古		
钴	鈷	gǔ		化学元素27	
毂	轂	gǔ	轮毂	车轮中心	
鼓	鼓	gǔ	鼓励，打鼓		
股	股	gǔ	股市，股票，股东		
贾	賈	gǔ	商贾	指商人或买卖	
鹄	鵠	gǔ	鹄的	射箭的目标	
骨	骨	gǔ	骨头，软骨		
谷	谷	gǔ	谷底，山谷		
蛊	蠱	gǔ	蛊惑		
诂	詁	gǔ	诂训，解诂	用当代语言解释古书的文义	
汩	汩	gǔ	汩汩，汩汩声	水流的声音或样子	
拱	拱	gǔng	拱门，拱顶，拱手		
巩	鞏	gǔng	巩固		
汞	汞	gǔng			銾
珙	珙	gǔng		较大的玉璧	
和	和	hwo·	暖和，软和，热和	气候温暖	
划	劃	hwà	计划	割裂，分开，筹划	
华	華	hwà	华山，华佗	（姓、地名）	
桦	樺	hwà			
化	化	hwà	化学，变化		
话	話	hwà	话题，说话		
画	畫	hwà	画家，笔画		
坏	壞	hwài	坏人，破坏		
奂	奐	hwàn	美仑美奂	文采鲜明	
患	患	hwàn	患病，忧患		
宦	宦	hwàn	宦官		
幻	幻	hwàn	幻想，虚幻		
唤	喚	hwàn	唤醒，叫唤		
痪	瘓	hwàn	瘫痪		
焕	煥	hwàn	焕然一新，精神焕发		
换	換	hwàn	换钱，交换		
豢	豢	hwàn	豢养，豢圉，豢畜	喂养，饲养，供养	
浣	浣	hwàn/wǎn	浣熊		
晃	晃	hwàng	晃动，晃悠，晃荡，摇晃		
华	華	hwá	华丽，华人，精华，中华，年华		
滑	滑	hwá	滑冰，光滑		
划	划	hwá	划船	用桨拨水，使船前进	
猾	猾	hwá	狡猾		
哗	譁	hwá	哗然，喧哗，哗众取宠	人多声杂，大声喧闹，乱吵，吵杂	嘩
骅	驊	hwá	骅骝	骏马，良马	
搳	搳	hwá	搳拳	指划拳	
踝	踝	hwái	踝骨，脚踝		
怀	懷	hwái	怀念，关怀		
淮	淮	hwái	淮河	（水名）	
槐	槐	hwái	槐树		
徊	徊	hwái/hwéi	徘徊		
鬟	鬟	hwán	丫鬟	妇女头上的环形发髻	
环	環	hwán	环球，耳环		
还	還	hwán	还给，还手，还原，还债	返回，给回，回报	
寰	寰	hwán	寰宇，人寰		
桓	桓	hwán			
鹮	䴉	hwán		一种生活在水边的鸟	
圜	圜	hwán	转圜	环绕，围绕	
锾	鍰	hwán	罚锾	钱，钱币	
磺	磺	hwáng	磺胺，硫磺	一种非金属固态元素	
簧	簧	hwáng	弹簧		
遑	遑	hwáng	遑论，不遑	闲暇	
蝗	蝗	hwáng	蝗虫		
隍	隍	hwáng	城隍	无水的护城壕	
惶	惶	hwáng	惶恐，惊慌	恐惧	
蟥	蟥	hwáng	蚂蟥		
徨	徨	hwáng	彷徨		
潢	潢	hwáng	装潢		
皇	皇	hwáng	皇帝，堂皇	君主	
黄	黃	hwáng	黄金，蛋黄		
煌	煌	hwáng	辉煌，敦煌		
凰	凰	hwáng	凤凰		
璜	璜	hwáng	璜佩，唐璜	半璧形的玉	
贿	賄	hwèi	贿赂，受贿		
绘	繪	hwèi	绘画，描绘		
烩	燴	hwèi			
荟	薈	hwèi	荟萃，芦荟		
彗	彗	hwèi	彗星		
晦	晦	hwèi	晦气，隐晦		
会	會	hwèi	会说，会合，会话，会审，会师，会齐，会客，会面，会晤，会意，会账，会议，开会，舞会，集会，工会，不会，省会，误会，领会，机会，都会，会游泳，纪念会，学生会，不会来，不会懂，能说会道，不会不懂，适逢其会，一定会实现	能，能够，善于，可能，有能力做，懂得怎样做；聚合，集合，合拢，合在一起；城市；见面；理解，领悟；一小段时间；多人集合的活动或组织	
汇	匯	hwèi	汇款，外汇		滙
慧	慧	hwèi	慧眼，智慧		
秽	穢	hwèi	秽语，污秽		
卉	卉	hwèi	花卉		
讳	諱	hwèi	讳言，忌讳		
汇	彙	hwèi	词汇		
诲	誨	hwèi	诲人不倦，教诲		
惠	惠	hwèi	恩惠，优惠，贤惠		
