啊	啊	a·	不錯啊，多美啊，快來啊，很好啊，小心啊	（助詞）表示贊歎、驚歎、疑問、肯定、辯解、催促，停頓、列舉等語氣	
酆	酆	fēng		（地名）	
犎	犎	fēng	犎牛	一種背部隆起如駱駝的野牛	
誹	诽	fěi	誹謗		
斐	斐	fěi	斐濟		
菲	菲	fěi	妄自菲薄	微薄	
匪	匪	fěi	匪徒，土匪		
翡	翡	fěi	翡翠		
榧	榧	fěi	榧子，打榧子	榧子樹，一種常綠喬木	
悱	悱	fěi	悱惻，纏綿悱惻	想說而說不出的樣子	
粉	粉	fěn	粉末，米粉		
諷	讽	fěng/fèng/fēng	諷刺，嘲諷		
膚	肤	fū	膚淺，皮膚		
夫	夫	fū	夫人，丈夫		
敷	敷	fū			
孵	孵	fū	孵卵，孵蛋，孵小雞		
麩	麸	fū	麩子，麩皮		
趺	趺	fū	趺坐，跏趺	腳背	
伕	伕	fū	車伕，力伕	做粗重工作的人	
跗	跗	fū	跗骨，跗面	腳背	
法	法	fǎ	法律，辦法		
反	反	fǎn	反面，相反		
返	返	fǎn	返回，往返		
訪	访	fǎng	訪問，拜訪		
仿	仿	fǎng	仿效，模仿		倣
彷	仿	fǎng	彷彿	好像，似乎	
紡	纺	fǎng	紡織		
舫	舫	fǎng	畫舫，石舫	船	
輔	辅	fǔ	輔導，輔助		
府	府	fǔ	府上，政府，官府		
甫	甫	fǔ			
腐	腐	fǔ	腐敗，豆腐		
斧	斧	fǔ	斧頭，班門弄斧		
脯	脯	fǔ	果脯，杏脯，桃脯，肉脯	果乾，肉乾	
腑	腑	fǔ	腑臟，肺腑		
俯	俯	fǔ	俯瞰，俯衝，俯臥撐		
釜	釜	fǔ	釜底抽薪		
拊	拊	fǔ	拊掌，搏拊	拍	
撫	抚	fǔ	撫養，愛撫		
褂	褂	guà	馬褂，大褂，布褂		
掛	挂	guà			
卦	卦	guà	八卦，卜卦		
怪	怪	guài	怪物，奇怪		
冠	冠	guàn	冠軍，奪冠，冠以	動詞，指戴帽子或加上名號，也指競賽中獲得第一名	
貫	贯	guàn	貫徹，一貫		
灌	灌	guàn	灌溉，灌木		
鸛	鹳	guàn	鸛鳥	一種水鳥	
盥	盥	guàn	盥洗		
罐	罐	guàn	罐頭，罐裝		
摜	掼	guàn			
慣	惯	guàn	習慣		
觀	观	guàn	道觀，樓觀	道教的寺廟	
逛	逛	guàng	逛街，閒逛		
桄	桄	guàng	桄子，線桄兒	指桄子，一種繞線器具	
櫃	柜	guì	櫃台，衣櫃		
桂	桂	guì	桂冠，肉桂		
貴	贵	guì			
跪	跪	guì			
炔	炔	guì		（姓）	
炅	炅	guì		（姓）	
劊	刽	guì/kuài	劊子手		
檜	桧	guì/kuài		刺柏，一種常綠喬木	
過	过	guò	過去，經過		
虢	虢	guó		周代諸侯國名	
膕	腘	guó	膕窩	膝部的後面	
幗	帼	guó	巾幗		
國	国	guó	國家，外國		
刮	刮	guā	刮臉		
颳	刮	guā	颳風		
括	括	guā	挺括	平整不變形	
呱	呱	guā	呱呱叫		
瓜	瓜	guā	瓜果，西瓜		
乖	乖	guāi	乖巧		
摑	掴	guāi/guó	摑耳光，掌摑	用巴掌打	
關	关	guān	關係，海關		
觀	观	guān	觀察，觀摩，觀念，樂觀，參觀，壯觀，奇觀，客觀，靜觀其變，走馬觀花	看，看法，樣子，景象	
官	官	guān	官方		
冠	冠	guān	冠冕，桂冠	名詞，指帽子	
倌	倌	guān	牛倌，堂倌	服雜役的人，飼養某牲畜的人	
鰥	鳏	guān	鰥夫		
棺	棺	guān	棺材		
綸	纶	guān	綸巾	青絲帶	
莞	莞	guān	莞草	（姓、植物名）	
胱	胱	guāng	膀胱		
光	光	guāng	光明，陽光		
桄	桄	guāng	桄榔	一種常綠喬木	
龜	龟	guī	海龜，烏龜		
歸	归	guī	歸還，回歸		
硅	硅	guī		化學元素14	
閨	闺	guī	閨房，深閨	女子所住的內室	
鮭	鲑	guī	鮭魚		
瑰	瑰	guī	玫瑰		
圭	圭	guī	圭臬，奉為圭臬	把某些事物﹑言論信奉為依據的準則	
規	规	guī	規則，違規		
皈	皈	guī	皈依	佛教的入教儀式	
珪	珪	guī		（古）玉圭	
鍋	锅	guō	鍋貼，火鍋		
郭	郭	guō		（姓）	
蟈	蝈	guō	蟈蟈兒	一種節肢動物門昆蟲	
堝	埚	guō	坩堝	盛東西的陶器	
聒	聒	guō/guā	聒噪，聒耳	嘈雜，令人厭煩的聲音	
剮	剐	guǎ	千刀萬剮		
寡	寡	guǎ	寡婦，多寡		
呱	呱	guǎ	拉呱兒	（方言）閒談	
柺	拐	guǎi	柺棍，柺杖	行走時支持身體的拄棍	
拐	拐	guǎi	拐彎，誘拐	轉彎；腿瘸；誘騙	
館	馆	guǎn	館子，餐館		
管	管	guǎn	管理		
莞	莞	guǎn	東莞	（地名）	
廣	广	guǎng	廣大，寬廣		
獷	犷	guǎng	粗獷		
軌	轨	guǐ	軌道，鐵軌		
晷	晷	guǐ	日晷		
詭	诡	guǐ	詭異，詭秘，詭計多端		
鬼	鬼	guǐ			
癸	癸	guǐ			
庋	庋	guǐ/jǐ	庋閣，庋藏，傾筐倒庋	放置物品的架子或箱架	
裹	裹	guǒ	裹腳，包裹		
果	果	guǒ	果汁，水果		
槨	椁	guǒ	棺槨	古代棺材外面的套棺	
尬	尬	gà	尷尬		
鈣	钙	gài			
丐	丐	gài	丐幫，乞丐		
概	概	gài	概括，大概		
蓋	盖	gài	蓋子，蓋上，蓋好，蓋世，覆蓋，遮蓋，涵蓋，蓋章，鋪蓋，瓶蓋，膝蓋，鍋蓋，杯蓋，蓋被子，蓋房子，蓋不住		
溉	溉	gài	灌溉		
淦	淦	gàn	淦水	（河流名）	
幹	干	gàn	幹部，樹幹		
贛	赣	gàn	贛江，贛劇	江西省的別稱	
槓	杠	gàng	抬槓，敲竹槓		
戇	戆	gàng/zhuàng	戇直	愚而剛直	
告	告	gào	告訴，報告		
誥	诰	gào	誥命，誥封	帝王對臣子的命令	
鋯	锆	gào		化學元素40	
郜	郜	gào		（姓）	
軋	轧	gá	軋賬，軋朋友，人軋人	（方言）擠，結交，核對	
噶	噶	gá	噶倫，噶廈	（音译用字）	
尜	尜	gá	尜兒，尜尜	兩頭尖中間大，如紡錘	
個	个	gè	個人，哪個		
各	各	gè			
鉻	铬	gè		化學元素24	
硌	硌	gè	硌腳，硌牙	（動詞）碰到堅硬的東西而覺得不舒服	
艮	艮	gèn			
亙	亘	gèn/gèng	亙古以來，橫亙	空間或時間延續不斷	
更	更	gèng	更加，更好，更快，更多，更進一步，更上一層樓	再，又，越發；程度加深，動作繼續或重複	
革	革	gé	革命，革新，革除，革履，革職，皮革，改革，變革，洗心革面	去毛加工的獸皮；改變，變更	
格	格	gé	格外，性格		
隔	隔	gé	隔壁，間隔		
閣	阁	gé	閣樓，內閣		
葛	葛	gé	葛藤，瓜葛，糾葛，杯葛	指葛麻或葛布	
膈	膈	gé	膈膜		
骼	骼	gé	骨骼		
嗝	嗝	gé	打嗝		
擱	搁	gé	擱不住，擱得住		
蛤	蛤	gé	蛤蜊，蛤蚧		
鎘	镉	gé		化學元素48	
哏	哏	gén		（方言）滑稽，有趣	
貢	贡	gòng	貢獻，朝貢		
共	共	gòng	共同，一共		
供	供	gòng	供奉，供品，供桌，供神，供認，供詞，口供，招供	受審的人交代案情；把香燭或祭品設在牌位等處以表示敬奉；從事，擔任	
購	购	gòu	購買，郵購		
勾	勾	gòu	勾當	（貶）事情，事物	
媾	媾	gòu	媾和，交媾		
構	构	gòu	構造，結構		
夠	够	gòu			
垢	垢	gòu	垢污，耳垢		
詬	诟	gòu	詬病，嗔詬	恥辱，怒罵	
彀	彀	gòu	彀中，彀者	張滿弓弩準備射箭，或弓箭能射及的範圍	
故	故	gù	故事，事故		
固	固	gù	固定，牢固		
顧	顾	gù	顧慮，照顧		
僱	雇	gù	僱主，解僱		
錮	锢	gù	禁錮	限制	
梏	梏	gù	桎梏，五梏	古代拘束犯人兩手的刑具，手銬	
棍	棍	gùn			
咖	咖	gā	咖喱		
嘎	嘎	gā			
旮	旮	gā	旮旯，牆旮旯，山旮旯	角落，狹窄偏僻的地方	
該	该	gāi	該當，應該		
賅	赅	gāi	言簡意賅	完備	
垓	垓	gāi	垓下歌，大會垓	荒遠之地；界限，邊際；古代數目名，指一萬萬	
甘	甘	gān	甘甜，甘心，甘願		
尷	尴	gān	尷尬		
干	干	gān	干涉，干擾，干係		
苷	苷	gān	糖苷，葡萄苷	一種有機化合物，也叫甙	
柑	柑	gān	柑橘		
肝	肝	gān	肝臟，心肝		
乾	干	gān	乾淨，擦乾		
杆	杆	gān	杆子，欄杆，電線杆	細長的東西	
竿	竿	gān	竿子，竹竿	竿子	
泔	泔	gān	泔水	淘米的水，洗過米的水；洗過碗菜的髒水	
酐	酐	gān		酸酐的簡稱	
坩	坩	gān	坩堝	盛東西的陶器	
岡	冈	gāng	岡巒，山岡		
缸	缸	gāng	缸盆，水缸		
綱	纲	gāng	綱要，大綱		
罡	罡	gāng	天罡星	北斗星的斗柄	
鋼	钢	gāng	鋼鐵，煉鋼		
剛	刚	gāng	剛才，剛剛		
肛	肛	gāng	肛門		
高	高	gāo	高級，提高		
羔	羔	gāo	羔羊	小羊	
膏	膏	gāo	膏藥，牙膏		
糕	糕	gāo	糕餅，蛋糕		
睾	睾	gāo	睾丸		
皋	皋	gāo		（水邊的高地）	
戈	戈	gē			
割	割	gē	割讓，切割		
哥	哥	gē	哥哥，大哥		
鴿	鸽	gē	鴿子，乳鴿		
胳	胳	gē	胳膊，胳肢窩		
歌	歌	gē	歌曲，唱歌		
擱	搁	gē	擱淺，耽擱		
仡	仡	gē	仡佬族		
疙	疙	gē	疙瘩		
紇	纥	gē	紇繨	紗線、織物等的疙瘩	
圪	圪	gē	圪節，圪蹴，圪針		
咯	咯	gē/gé	咯噔，咯吱，咯咯，咯咯笑	（象聲詞）形容笑聲	
根	根	gēn	根本，樹根		
跟	跟	gēn	跟隨，腳跟		
耕	耕	gēng	耕田，深耕		
更	更	gēng	更改，更換，更衣，更動，更新，更正，變更，打更，更迭，更生，更定，三更半夜，更深人靜	改變；經歷；一夜的五分之一的時間	
羹	羹	gēng	羹湯，羹匙，閉門羹		
庚	庚	gēng			
鶊	鹒	gēng	鶬鶊	黃鸝	
賡	赓	gēng	賡續，賡揚	繼續，接續，連續	
葛	葛	gě		（姓）	
蓋	盖	gě		（姓）	
舸	舸	gě		（古）一種大船	
給	给	gěi			
埂	埂	gěng	田埂		
梗	梗	gěng	梗塞，作梗	挺直，直爽，阻塞	
哽	哽	gěng	哽咽		
耿	耿	gěng	耿直，耿耿		
鯁	鲠	gěng	骨鯁	魚骨，魚刺；骨頭卡在嗓子裡	
恭	恭	gōng	恭敬，謙恭		
肱	肱	gōng	肱骨，股肱	胳膊從肩到肘的部位	
蚣	蚣	gōng	蜈蚣		
公	公	gōng	公園，外公		
弓	弓	gōng	弓箭，彈弓		
供	供	gōng	供給，供應，供水，供電，提供	把東西給需要的人使用，向別人提供某種條件	
功	功	gōng	功能，成功		
工	工	gōng	工人，打工		
宮	宫	gōng	宮廷，故宮		
躬	躬	gōng	鞠躬		
攻	攻	gōng	攻擊，進攻		
龔	龚	gōng/gǒng		（姓）	
篝	篝	gōu	篝火		
鉤	钩	gōu			鈎
勾	勾	gōu	勾結，勾搭，勾引，勾留，勾銷	用筆描繪，刪除；招引	
溝	沟	gōu	溝通，水溝		
佝	佝	gōu/kòu/hǒu	佝僂，佝僂著腰		
咕	咕	gū			
沽	沽	gū	沽名釣譽	買	
估	估	gū	估計，低估		
牯	牯	gū	牯牛		
姑	姑	gū	姑娘，尼姑		
辜	辜	gū	辜負，無辜		
軲	轱	gū	軲轆	車輪，轉動，滾動	
孤	孤	gū	孤獨，孤兒，孤立		
菇	菇	gū	香菇，蘑菇		菰
箍	箍	gū	鐵箍，緊箍咒，金箍棒		
蛄	蛄	gū	螻蛄		
觚	觚	gū	操觚，率爾操觚	古代用來寫字的方形木板	
菰	菰	gū	菰首，菰稗，菰葦	茭白	
骨	骨	gū/gú	骨碌	滾轉的樣子	
尕	尕	gǎ	尕娃，尕驢兒，小尕子	（方言）小	
改	改	gǎi	改變，更改		
敢	敢	gǎn	敢說，勇敢		
感	感	gǎn	感覺，同感		
趕	赶	gǎn			
擀	擀	gǎn			
桿	杆	gǎn	筆桿，槍桿	器物上細長像棍子的東西	
橄	橄	gǎn	橄欖		
稈	秆	gǎn	稈子，稻稈	穀類植物的莖	
崗	岗	gǎng	崗位，站崗		
港	港	gǎng	港口，海港		
稿	稿	gǎo	稿子，文稿		
搞	搞	gǎo			
槁	槁	gǎo	槁木，枯槁	枯乾	
縞	缟	gǎo	縞帶，縞衣	古代絲織品，白色	
杲	杲	gǎo	杲日	明亮	
鎬	镐	gǎo	鎬頭，鐵鎬	刨土的工具	
藁	藁	gǎo	藁城	（地名）	
拱	拱	gǒng	拱門，拱頂，拱手		
鞏	巩	gǒng	鞏固		
汞	汞	gǒng			銾
珙	珙	gǒng		較大的玉璧	
狗	狗	gǒu	狗魚，海狗		
枸	枸	gǒu	枸杞		
苟	苟	gǒu	苟同，苟合，苟且，苟活		
穀	谷	gǔ	穀物，五穀		
古	古	gǔ	古代，考古		
鈷	钴	gǔ		化學元素27	
轂	毂	gǔ	輪轂	車輪中心	
鼓	鼓	gǔ	鼓勵，打鼓		
股	股	gǔ	股市，股票，股東		
賈	贾	gǔ	商賈	指商人或買賣	
鵠	鹄	gǔ	鵠的	射箭的目標	
骨	骨	gǔ	骨頭，軟骨		
谷	谷	gǔ	谷底，山谷		
蠱	蛊	gǔ	蠱惑		
詁	诂	gǔ	詁訓，解詁	用當代語言解釋古書的文義	
汩	汩	gǔ	汩汩，汩汩聲	水流的聲音或樣子	
滾	滚	gǔn	滾燙，搖滾		
鯀	鲧	gǔn		（古）一種大魚；（人名）夏禹的父親	
磙	磙	gǔn	磙子，石磙	用碌碡碾平場地、播種後的覆土等等	
噷	噷	hm		（歎詞）表示不滿、輕蔑等	
哼	哼	hng		（歎詞）表示不滿，懷疑，輕蔑，威脅，怨恨	
和	和	huo·	暖和，軟和，熱和	氣候溫暖	
劃	划	huà	計劃	割裂，分開，籌劃	
華	华	huà	華山，華佗	（姓、地名）	
樺	桦	huà			
化	化	huà	化學，變化		
話	话	huà	話題，說話	（動詞）說，談，談論；（名詞）話語，語言，說出的語言	
畫	画	huà	畫家，筆畫		
壞	坏	huài	壞人，破壞		
奐	奂	huàn	美侖美奐	文采鮮明	
患	患	huàn	患病，憂患		
宦	宦	huàn	宦官		
幻	幻	huàn	幻想，虛幻		
喚	唤	huàn	喚醒，叫喚		
瘓	痪	huàn	癱瘓		
煥	焕	huàn	煥然一新，精神煥發		
換	换	huàn	換錢，交換		
豢	豢	huàn	豢養，豢圉，豢畜	餵養，飼養，供養	
浣	浣	huàn/wǎn	浣熊		
晃	晃	huàng	晃動，晃悠，晃蕩，搖晃		
華	华	huá	華麗，華人，精華，中華，年華		
滑	滑	huá	滑冰，光滑		
划	划	huá	划船	用槳撥水，使船前進	
猾	猾	huá	狡猾		
譁	哗	huá	譁然，喧譁，譁眾取寵	人多聲雜，大聲喧鬧，亂吵，吵雜	嘩
驊	骅	huá	驊騮	駿馬，良馬	
搳	搳	huá	搳拳	指划拳	
踝	踝	huái	踝骨，腳踝		
懷	怀	huái	懷念，關懷		
淮	淮	huái	淮河	（水名）	
槐	槐	huái	槐樹		
徊	徊	huái/huí	徘徊		
鬟	鬟	huán	丫鬟	婦女頭上的環形髮髻	
環	环	huán	環球，耳環		
還	还	huán	還給，還手，還原，還債	返回，給回，回報	
寰	寰	huán	寰宇，人寰		
桓	桓	huán			
䴉	鹮	huán		一種生活在水邊的鳥	
圜	圜	huán	轉圜	環繞，圍繞	
鍰	锾	huán	罰鍰	錢，錢幣	
磺	磺	huáng	磺胺，硫磺	一種非金屬固態元素	
簧	簧	huáng	彈簧		
遑	遑	huáng	遑論，不遑	閒暇	
蝗	蝗	huáng	蝗蟲		
隍	隍	huáng	城隍	無水的護城壕	
惶	惶	huáng	惶恐，驚慌	恐懼	
蟥	蟥	huáng	螞蟥		
徨	徨	huáng	彷徨		
潢	潢	huáng	裝潢		
皇	皇	huáng	皇帝，堂皇	君主	
黃	黄	huáng	黃金，蛋黃		
煌	煌	huáng	輝煌，敦煌		
凰	凰	huáng	鳳凰		
璜	璜	huáng	璜佩，唐璜	半璧形的玉	
賄	贿	huì	賄賂，受賄		
繪	绘	huì	繪畫，描繪		
燴	烩	huì			
薈	荟	huì	薈萃，蘆薈		
彗	彗	huì	彗星		
晦	晦	huì	晦氣，隱晦		
會	会	huì	會說，會合，會話，會審，會師，會齊，會客，會面，會晤，會意，會賬，會議，開會，舞會，集會，工會，不會，省會，誤會，領會，機會，都會，會游泳，紀念會，學生會，不會來，不會懂，能說會道，不會不懂，適逢其會，一定會實現	能，能夠，善於，可能，有能力做，懂得怎樣做；聚合，集合，合攏，合在一起；城市；見面；理解，領悟；一小段時間；多人集合的活動或組織	
匯	汇	huì	匯款，外匯		滙
慧	慧	huì	慧眼，智慧		
穢	秽	huì	穢語，污穢		
卉	卉	huì	花卉		
諱	讳	huì	諱言，忌諱		
彙	汇	huì	詞彙		
誨	诲	huì	誨人不倦，教誨		
惠	惠	huì	恩惠，優惠，賢惠		
蕙	蕙	huì	蕙蘭	一種草本植物	
恚	恚	huì	恚恨，恚怒，憤恚	怨恨，憤怒	
會	会	huì/huǐ	會兒，一會兒	片刻，很短的時間	
檜	桧	huì/kuài	秦檜	（用於人名）	
回	回	huí			囘，囬
蛔	蛔	huí	蛔蟲		
洄	洄	huí			
迴	回	huí	迴避，迂迴	曲折，環繞，旋轉	廻
貨	货	huò	貨品，百貨		
惑	惑	huò	困惑，迷惑，誘惑		
鑊	镬	huò		古代的大鍋	
獲	获	huò	獲得，捕獲	得到或捕捉	
穫	获	huò	收穫	收割莊稼	
豁	豁	huò	豁達，豁免，豁出去		
或	或	huò	或者，抑或		
和	和	huò	和藥，和弄，拌和，摻和，攪和，和稀泥，用水和麵	拌，調勻，攙和，混合	
霍	霍	huò	霍亂，揮霍		
禍	祸	huò	禍患，車禍		
藿	藿	huò	淫羊藿	豆類作物的葉子	
活	活	huó	活潑，生活		
和	和	huó	和麵，和泥	加水攪拌或揉弄粉狀	
花	花	huā	花朵，雪花		
嘩	哗	huā	嘩啦啦，嘩嘩	（象聲詞）	
歡	欢	huān	歡樂，喜歡		
貛	獾	huān	狼貛		
荒	荒	huāng	荒地，荒廢，荒謬，荒唐		
慌	慌	huāng	慌忙，驚慌	忙亂，不從容	
肓	肓	huāng	病入膏肓	古指心尖的脂肪，心臟和橫隔膜之間的部位	
暉	晖	huī	朝暉		
詼	诙	huī	詼諧		
灰	灰	huī	灰色，心灰		
揮	挥	huī	揮手，指揮		
輝	辉	huī	輝煌，光輝		
徽	徽	huī	徽章，國徽		
恢	恢	huī	恢復，天網恢恢		
麾	麾	huī	麾下，雲麾勳章	指挥军队的旗子	
翬	翚	huī	高翬	飛翔	
褘	袆	huī			
㺢	㺢	huō	㺢㹢狓	一種動物	
緩	缓	huǎn	緩慢，減緩		
晃	晃	huǎng	晃眼	亮得刺眼	
幌	幌	huǎng	幌子		
恍	恍	huǎng	恍惚，恍如隔世，恍然大悟		
謊	谎	huǎng	謊話，說謊		
悔	悔	huǐ	悔恨，後悔		
毀	毁	huǐ	毀滅，摧毀		譭，燬
夥	伙	huǒ	夥計，夥伴，店夥，同夥		
伙	伙	huǒ	伙房，伙食，傢伙		
火	火	huǒ	火山，點火		
哈	哈	hà	哈巴，哈士蟆，哈什螞		
氦	氦	hài			
亥	亥	hài	辛亥革命		
駭	骇	hài	駭然，驚駭		
害	害	hài	害怕，傷害		
嗐	嗐	hài		（歎詞）表示惋惜，驚訝，後悔等	
悍	悍	hàn	悍然，兇悍		
漢	汉	hàn	漢字，銀漢		
憾	憾	hàn	遺憾，缺憾		
捍	捍	hàn	捍衛，捍禦		
汗	汗	hàn	汗水，流汗		
翰	翰	hàn	翰林，約翰		
撼	撼	hàn	撼動，震撼		
旱	旱	hàn	旱災，乾旱		
瀚	瀚	hàn	浩瀚		
焊	焊	hàn	焊接，電焊		
頷	颔	hàn	頷首，頷聯	下巴頦，下巴；點頭	
菡	菡	hàn	菡萏	荷花	
行	行	hàng	行行，樹行子	剛強的樣子；排成行列的樹木	
沆	沆	hàng	沆瀣，沆瀣一氣	水氣，煙霧	
浩	浩	hào	浩劫，浩大		
耗	耗	hào	耗子，耗費，消耗		
號	号	hào	號碼，符號	（名詞）標記，名稱	
好	好	hào	好客，好奇，嗜好，癖好	（動詞）喜愛，喜歡	
昊	昊	hào		廣大的天	
灝	灏	hào		水勢大	
鎬	镐	hào		（地名）西周的國都	
晧	晧	hào		太陽剛出的樣子	
皓	皓	hào	皓月，皓髮	白，潔白，明亮	
顥	颢	hào	顥穹，顥顥	白而發亮	
澔	澔	hào			
蛤	蛤	há	蛤蟆，癩蛤蟆		
骸	骸	hái	骸骨，殘骸		
孩	孩	hái	孩子，小孩		
還	还	hái	還有，還沒，還可以		
涵	涵	hán	涵蓋，海涵		
韓	韩	hán		（姓）	
寒	寒	hán	寒冷，寒假，寒冬		
汗	汗	hán	可汗		
函	函	hán	函數，公函	信件	
含	含	hán	含量，包含		
邯	邯	hán	邯鄲，邯鄲學步		
晗	晗	hán		天將明	
杭	杭	háng	杭州，蘇杭		
行	行	háng	行列，行業，行話，銀行，同行，排行	行列，排；職業	
航	航	háng	航運，遠航		
壕	壕	háo	壕溝，戰壕		
貉	貉	háo	貉子，貉絨	一種哺乳動物	
蠔	蚝	háo	蠔油	牡蠣	
嚎	嚎	háo	嚎啕，嚎叫		
嗥	嗥	háo	嗥叫	野獸吼叫	
號	号	háo	號叫，號啕，號哭，呼號	（動詞）高聲叫喊	
毫	毫	háo	毫無，毫毛，秋毫		
豪	豪	háo	豪華，自豪		
濠	濠	háo	濠江，城濠	護城河	
鶴	鹤	hè	白鶴，仙鶴，鶴立雞群		
喝	喝	hè	喝斥，喝彩，當頭棒喝	高聲喊叫	
荷	荷	hè	負荷，荷載，荷重，電荷，感荷	扛，背，負擔，承受	
赫	赫	hè	赫然，顯赫	顯明，顯著，盛大	
和	和	hè	和詩，和韻，和答，唱和，附和，酬和，曲高和寡，一唱一和	聲音相應	
賀	贺	hè	賀歲，恭賀		
嚇	吓	hè	嚇阻，恐嚇，威嚇，恫嚇	威脅，警告	
褐	褐	hè	褐色		
壑	壑	hè/huò	溝壑，慾壑難填	山溝，山谷，大水坑	
恨	恨	hèn			
橫	横	hèng	橫財，橫禍，蠻橫	粗暴，意外，不吉利	
合	合	hé	合作，場合		閤
禾	禾	hé	禾稻，禾苗	穀類的統稱	
河	河	hé	河流，黃河		
劾	劾	hé	彈劾		
和	和	hé	和平，和諧，和好，和服，講和，共和	停戰，不爭執，順適	
何	何	hé	何處，為何		
盒	盒	hé	盒子，紙盒		
核	核	hé	核心，核對，審核，核子，核能		
荷	荷	hé	荷花，荷塘，荷包，荷蘭，薄荷，荷爾蒙	蓮花	
闔	阖	hé	闔眼，闔家	全，總共，合上，關閉	
貉	貉	hé	一丘之貉	（用於合成詞和成語）一種哺乳動物	
餄	饸	hé	蕎麵餄餎		
涸	涸	hé	涸轍之鮒，涸澤而漁	水乾，枯竭	
閡	阂	hé	隔閡	阻隔不通	
紇	纥	hé	回紇	古代一個少數民族的名稱	
鞨	鞨	hé	靺鞨	古代一個少數民族	
齕	龁	hé		咬	
嗑	嗑	hé	噬嗑	六十四卦之一	
郃	郃	hé	郃陽	（地名）	合
覈	覈	hé	覈實，檢覈	核實，檢驗，查核	
頜	颌	hé/gé/hàn	上頜，下頜	構成口腔的骨頭和肌肉組織	
菏	菏	hé/gē	菏澤，菏水	（地名）	
和	和	hé/hàn	你和我，我和他	與，同，及	
痕	痕	hén	痕跡，傷痕		
衡	衡	héng	衡量，平衡		
恆	恒	héng	恆心，永恆		
橫	横	héng	橫跨，縱橫，橫斷面		
桁	桁	héng	橋桁		
鴴	鸻	héng		一種水鳥	
珩	珩	héng	白珩	古代佩玉上面的橫玉	
姮	姮	héng	姮娥	嫦娥	
行	行	héng/hang·	道行	技能本領	
行	行	héng/hang·	道行	僧道修行的功夫	
鬨	哄	hòng	鬨鬧，起鬨，一鬨而散	喧鬧，笑鬧	
蕻	蕻	hòng	菜蕻	茂盛的樣子	
訌	讧	hòng/hóng	內訌	亂，潰敗	
鱟	鲎	hòu	鱟魚		
後	后	hòu	後來，以後		
候	候	hòu	候補，時候		
厚	厚	hòu			
后	后	hòu	皇后，太后		
逅	逅	hòu	邂逅		
閎	闳	hóng		巷門；宏大	
鴻	鸿	hóng	鴻雁，鴻圖，鴻業		
宏	宏	hóng	宏觀，宏偉，宏大	廣大	
洪	洪	hóng	洪水，防洪		
虹	虹	hóng	彩虹，霓虹		
紅	红	hóng	紅色，臉紅		
弘	弘	hóng			
蕻	蕻	hóng	雪裡蕻	一種花	
紘	纮	hóng	紘綖，紘覆	（古）帽帶，繩子	
泓	泓	hóng	一泓清泉，一泓秋水	水深而廣的樣子	
篌	篌	hóu	箜篌	古代弦樂器	
侯	侯	hóu	侯爵，諸侯，封侯		
猴	猴	hóu	猴子，獼猴		
喉	喉	hóu	喉嚨，咽喉		
瘊	瘊	hóu	瘊子	疣，皮膚上不痛不癢的疙瘩	
戶	户	hù	戶口，帳戶		
護	护	hù	護照，保護		
糊	糊	hù	糊弄，糊人，糊著	（動詞，方言）敷衍，愚弄，矇騙，矇混	
瓠	瓠	hù			
笏	笏	hù	笏板，持笏	古代朝廷大臣拿著的一種手板	
祜	祜	hù	拉祜族，鈕祜祿氏		
扈	扈	hù	扈從，跋扈		
互	互	hù	互助，相互		
滬	沪	hù			
戽	戽	hù	戽斗，戽水	一種用以灌田的農具；用戽斗汲水	
怙	怙	hù	怙惡不悛	依仗，依靠，仗勢，仗恃	
鸌	鹱	hù		一種水鳥	
糊	糊	hù/hú	麵糊，芋糊，米糊，糨糊，芝麻糊，花生糊，玉米糊，辣椒糊	（名詞）濃稠如粥的食物	
諢	诨	hùn	諢名，打諢		
混	混	hùn	混合，混水，混亂，攪混，混日子		溷
糊	糊	hú	糊塗，含糊，模糊，迷糊，黏糊，爛糊	（形容詞）不清楚，不明白，不明事理	
瑚	瑚	hú	珊瑚		
鬍	胡	hú	鬍子，鬍鬚		
胡	胡	hú	胡亂，胡桃		
湖	湖	hú	湖畔，西湖		
餬	糊	hú	餬口，勉強餬口	（動詞）充飢，用食物填飽肚子；比喻謀生，維持生活	
狐	狐	hú	狐狸		
煳	煳	hú	煳飯，烤煳了，煮糊了	燒焦	糊
猢	猢	hú	樹倒猢猻散		
蝴	蝴	hú	蝴蝶		
衚	胡	hú	衚衕		
壺	壶	hú	水壺，茶壺		
和	和	hú		（賭博用語）打麻將獲勝	
弧	弧	hú	弧線，括弧		
葫	葫	hú	葫蘆		
鶘	鹕	hú	鵜鶘		
囫	囫	hú	囫圇吞棗		
醐	醐	hú	醍醐，醍醐灌頂	精煉後的乳酪	
槲	槲	hú	槲寄生	一種落葉喬木	
渾	浑	hún			
魂	魂	hún	魂魄，靈魂		
餛	馄	hún	餛飩		
琿	珲	hún	琿春	（地名）	
哈	哈	hā	哈欠，哈哈大笑		
咳	咳	hāi		（歎詞）表示驚訝、惋惜、後悔	
嗨	嗨	hāi	嗨喲	（歎詞）表示驚訝、惋惜、後悔	
咍	咍	hāi		譏笑，嘲笑；快樂，喜悅，歡笑	
酣	酣	hān	酣睡，酒酣耳熱		
鼾	鼾	hān	鼾聲，打鼾		
蚶	蚶	hān	蚶子		
