繁体,简体,拼音,词例,定义,又作
挨,捱,ai²,挨饿，挨打，挨骂，挨日子,遭受，亲身受到，困难地度过
癌,癌,ai²/yan²,癌症，胃癌
矮,矮,ai³,矮小，低矮
蔼,藹,ai³,蔼然可亲，和蔼
毐,毐,ai³,嫪毐,（人名）
嗳,噯,ai³,嗳酸
哀,哀,ai¹,哀悼，悲哀
埃,埃,ai¹,埃及，尘埃
挨,挨,ai¹,挨户，挨家，挨近,依次，顺次，靠近
哎,哎,ai¹,哎呀，哎哟
唉,唉,ai¹,唉声叹气,（叹词）表示失望或无可奈何
瑷,璦,ai⁴
叆,靉,ai⁴,叆叇,云彩很厚的样子
隘,隘,ai⁴,狭隘
爱,愛,ai⁴,爱情，疼爱
唉,唉,ai⁴,"",（叹词）表示伤感或惋惜
暧,曖,ai⁴,暧昧
艾,艾,ai⁴,艾草，艾灸
砹,砹,ai⁴,"",化学元素85
碍,礙,ai⁴,碍事，障碍
嫒,嬡,ai⁴,令嫒,（敬语）称对方的女儿
昂,昂,ang²,昂贵，高昂
肮,骯,ang¹,肮脏
盎,盎,ang⁴,盎司
俺,俺,an³,俺们
铵,銨,an³,氯化铵
谙,諳,an¹,不谙,熟悉
庵,庵,an¹,施耐庵,圆形草屋
鹌,鵪,an¹,鹌鹑
鞍,鞍,an¹,鞍子，马鞍
安,安,an¹,安全，平安
桉,桉,an¹,桉树
氨,氨,an¹,聚氨酯,一种有强烈刺激气味的无机化合物，氢与氮化合而成
按,按,an⁴,按钮，按照，按时
岸,岸,an⁴,岸然，海岸
黯,黯,an⁴,黯然销魂
犴,犴,an⁴,狴犴,传说中的兽名
暗,暗,an⁴
案,案,an⁴,案件，档案
胺,胺,an⁴/an¹,聚酰亚胺,氨分子中的氢原子被烃基取代而成的有机化合物
鳌,鰲,ao²,鳌头，鳌拜，博鳌论坛,传说中海里的大龟
敖,敖,ao²,"",（姓）
翱,翱,ao²,翱翔
螯,螯,ao²,"",螃蟹等的第一对脚
遨,遨,ao²,遨游
熬,熬,ao²,煎熬
獒,獒,ao²,獒犬，藏獒,一种凶猛的大狗
鏖,鏖,ao²,鏖战,苦战，激战
袄,襖,ao³,棉袄，皮袄
媪,媼,ao³,"",年老的妇女
凹,凹,ao¹,凹凸
坳,坳,ao⁴
奥,奧,ao⁴,奥妙，深奥
拗,拗,ao⁴,拗口，违拗，拗口令,不顺
澳,澳,ao⁴,澳门，澳洲
傲,傲,ao⁴,傲慢，骄傲
懊,懊,ao⁴,懊悔
骜,驁,ao⁴/ao²,桀骜不驯
啊,啊,a²,啊？你说什么，啊？你再说,（叹词）表示疑问、疑惑、反问、追问等语气
啊,啊,a³,啊？这怎么回事，啊？有这种事啊,（叹词）表示惊异、疑惑、惊疑等语气
锕,錒,a¹,"",化学元素89
阿,阿,a¹,阿斗，阿姨，阿飞
吖,吖,a¹,吖啶,（音译用字）
